Name,GP,G,A,TP,PPG,PIM,Period,Years,POS,firstYear,lastYear
Bill Hicke,729.0,168.0,234.0,402.0,0.551,395.0,1958-1972,14.0,RW,1958,1972
Sean Couturier,647.0,156.0,246.0,402.0,0.621,255.0,2011-2021,10.0,C,2011,2021
Marc Tardif,517.0,194.0,207.0,401.0,0.7759999999999999,443.0,1969-1983,8.0,LW,1969,1983
Herb Cain,570.0,206.0,194.0,400.0,0.7020000000000001,178.0,1933-1946,13.0,LW,1933,1946
Alan Haworth,524.0,189.0,211.0,400.0,0.763,425.0,1980-1988,8.0,C,1980,1988
Valeri Bure,621.0,174.0,226.0,400.0,0.644,221.0,1994-2006,11.0,RW,1994,2006
Alexander Edler,873.0,99.0,301.0,400.0,0.45799999999999996,607.0,2006-2021,15.0,D,2006,2021
Mike McPhee,744.0,200.0,199.0,399.0,0.536,661.0,1983-1994,11.0,LW,1983,1994
Tom McCarthy,461.0,178.0,221.0,399.0,0.866,330.0,1979-1988,9.0,LW,1979,1988
Andrew Cogliano,1012.0,165.0,234.0,399.0,0.39399999999999996,345.0,2007-2021,14.0,LW,2007,2021
Jim Lorentz,659.0,161.0,238.0,399.0,0.605,208.0,1968-1978,10.0,C,1968,1978
Adrian Aucoin,1108.0,121.0,278.0,399.0,0.36,796.0,1994-2013,18.0,D,1994,2013
Petr Svoboda,1028.0,58.0,341.0,399.0,0.38799999999999996,1605.0,1984-2001,17.0,D,1984,2001
Eric Dazé,601.0,226.0,172.0,398.0,0.662,176.0,1994-2006,11.0,LW,1994,2006
Charlie Conacher,459.0,225.0,173.0,398.0,0.867,523.0,1929-1941,12.0,RW,1929,1941
Anders Hedberg,465.0,172.0,226.0,398.0,0.856,144.0,1978-1985,7.0,RW,1978,1985
Matt Cooke,1046.0,167.0,231.0,398.0,0.38,1135.0,1998-2015,16.0,LW,1998,2015
George Ferguson,797.0,160.0,238.0,398.0,0.499,431.0,1972-1984,12.0,C,1972,1984
Steve Chiasson,751.0,93.0,305.0,398.0,0.53,1107.0,1986-1999,13.0,D,1986,1999
Alexander Frolov,579.0,175.0,222.0,397.0,0.6859999999999999,218.0,2002-2011,8.0,LW,2002,2011
Clint Smith,483.0,161.0,236.0,397.0,0.8220000000000001,24.0,1936-1947,11.0,C,1936,1947
Scott Walker,829.0,151.0,246.0,397.0,0.479,1162.0,1994-2010,15.0,RW,1994,2010
Buddy O'Connor,509.0,140.0,257.0,397.0,0.78,34.0,1941-1951,10.0,C,1941,1951
Steve Konowalchuk,790.0,171.0,225.0,396.0,0.501,703.0,1991-2006,14.0,LW,1991,2006
Gus Bodnar,667.0,142.0,254.0,396.0,0.594,207.0,1943-1955,12.0,C,1943,1955
Maxim Afinogenov,651.0,158.0,237.0,395.0,0.607,486.0,1999-2010,10.0,RW,1999,2010
Errol Thompson,599.0,208.0,185.0,393.0,0.6559999999999999,184.0,1970-1981,10.0,LW,1970,1981
Nazem Kadri,612.0,180.0,213.0,393.0,0.642,484.0,2009-2021,12.0,C,2009,2021
R.J. Umberger,779.0,180.0,212.0,392.0,0.503,312.0,2005-2016,11.0,C/W,2005,2016
Dennis Ververgaert,583.0,176.0,216.0,392.0,0.672,247.0,1973-1981,8.0,RW,1973,1981
Cal Gardner,696.0,154.0,238.0,392.0,0.563,517.0,1945-1957,12.0,C,1945,1957
Mats Zuccarello,576.0,129.0,263.0,392.0,0.6809999999999999,233.0,2010-2021,11.0,RW,2010,2021
Andy Hebenton,630.0,189.0,202.0,391.0,0.621,83.0,1955-1964,9.0,RW,1955,1964
Lowell MacDonald,506.0,180.0,210.0,390.0,0.7709999999999999,92.0,1961-1978,13.0,RW,1961,1978
Dave Manson,1103.0,102.0,288.0,390.0,0.354,2792.0,1986-2002,16.0,D,1986,2002
Jarret Stoll,872.0,144.0,244.0,388.0,0.445,618.0,2002-2016,13.0,C,2002,2016
Eric Weinrich,1157.0,70.0,318.0,388.0,0.335,825.0,1988-2006,17.0,D,1988,2006
Mark Parrish,722.0,215.0,172.0,387.0,0.536,246.0,1998-2011,12.0,RW,1998,2011
Marty Barry,509.0,195.0,192.0,387.0,0.76,231.0,1927-1940,12.0,C,1927,1940
Ric Seiling,738.0,179.0,208.0,387.0,0.524,573.0,1977-1987,10.0,RW,1977,1987
Daniel Cleary,938.0,165.0,222.0,387.0,0.413,492.0,1997-2015,17.0,RW/LW,1997,2015
Dennis Wideman,815.0,99.0,288.0,387.0,0.475,503.0,2005-2017,12.0,D,2005,2017
Ryan Callahan,757.0,186.0,200.0,386.0,0.51,428.0,2006-2020,14.0,RW,2006,2020
Bill Hay,506.0,113.0,273.0,386.0,0.763,244.0,1959-1967,8.0,C,1959,1967
Pavel Kubina,970.0,110.0,276.0,386.0,0.39799999999999996,1123.0,1997-2012,14.0,D,1997,2012
Mark Stone,449.0,149.0,236.0,385.0,0.857,147.0,2011-2021,10.0,RW,2011,2021
Mark Hunter,628.0,213.0,171.0,384.0,0.611,1426.0,1981-1993,12.0,RW,1981,1993
Mika Zibanejad,548.0,176.0,208.0,384.0,0.701,155.0,2011-2021,10.0,C,2011,2021
Bob Probert,935.0,163.0,221.0,384.0,0.41100000000000003,3300.0,1985-2002,17.0,LW,1985,2002
Michael Frolik,850.0,159.0,225.0,384.0,0.452,317.0,2008-2020,12.0,RW,2008,2020
Sergei Makarov,424.0,134.0,250.0,384.0,0.9059999999999999,317.0,1989-1997,7.0,RW,1989,1997
Zarley Zalapski,637.0,99.0,285.0,384.0,0.603,684.0,1987-2000,12.0,D,1987,2000
Jeff Norton,799.0,52.0,332.0,384.0,0.48100000000000004,615.0,1987-2002,15.0,D,1987,2002
Jean-Guy Gendron,863.0,182.0,201.0,383.0,0.444,701.0,1955-1972,14.0,LW,1955,1972
Mike Grier,1060.0,162.0,221.0,383.0,0.361,510.0,1996-2011,14.0,RW,1996,2011
Mush March,759.0,153.0,230.0,383.0,0.505,540.0,1928-1945,17.0,RW,1928,1945
Kevin Shattenkirk,679.0,83.0,300.0,383.0,0.564,406.0,2010-2021,11.0,D,2010,2021
Bob Errey,895.0,170.0,212.0,382.0,0.42700000000000005,1005.0,1983-1998,15.0,LW,1983,1998
Steven Reinprecht,663.0,140.0,242.0,382.0,0.5760000000000001,186.0,1999-2011,11.0,C,1999,2011
Martin Lapointe,991.0,181.0,200.0,381.0,0.384,1417.0,1991-2008,16.0,RW,1991,2008
Todd White,653.0,141.0,240.0,381.0,0.583,228.0,1997-2011,13.0,C,1997,2011
Andrei Kovalenko,620.0,173.0,206.0,379.0,0.611,389.0,1992-2001,9.0,RW,1992,2001
Orest Kindrachuk,507.0,118.0,261.0,379.0,0.748,648.0,1972-1982,10.0,C,1972,1982
Richard Zednik,745.0,199.0,179.0,378.0,0.507,563.0,1995-2009,13.0,LW,1995,2009
Adam Henrique,665.0,186.0,192.0,378.0,0.568,204.0,2010-2021,11.0,C,2010,2021
Greg Gilbert,837.0,147.0,228.0,378.0,0.452,576.0,1981-1996,15.0,LW,1981,1996
German Titov,624.0,157.0,220.0,377.0,0.604,311.0,1993-2002,9.0,C,1993,2002
Bob Kelly,837.0,154.0,208.0,377.0,0.45,1454.0,1970-1982,12.0,LW,1970,1982
Mike Johnson,661.0,129.0,246.0,375.0,0.5670000000000001,315.0,1996-2008,11.0,RW,1996,2008
Steve Smith,804.0,72.0,303.0,375.0,0.466,2139.0,1984-2001,16.0,D,1984,2001
Doug Brown,854.0,160.0,214.0,374.0,0.43799999999999994,210.0,1986-2001,15.0,RW,1986,2001
Adam Deadmarsh,567.0,184.0,189.0,373.0,0.6579999999999999,819.0,1994-2003,9.0,RW,1994,2003
Jeff Halpern,976.0,152.0,221.0,373.0,0.382,641.0,1999-2014,14.0,C,1999,2014
Greg Paslawski,650.0,187.0,185.0,372.0,0.5720000000000001,169.0,1983-1994,11.0,RW,1983,1994
Dean Evason,803.0,139.0,233.0,372.0,0.46299999999999997,1000.0,1983-1996,13.0,C,1983,1996
Johnny Gottselig,589.0,176.0,195.0,371.0,0.63,203.0,1928-1945,16.0,LW,1928,1945
Tony Hrkac,758.0,132.0,239.0,371.0,0.489,173.0,1986-2003,13.0,C,1986,2003
Johan Franzén,602.0,187.0,183.0,370.0,0.615,401.0,2005-2020,15.0,LW,2005,2020
Ryan Malone,647.0,179.0,191.0,370.0,0.5720000000000001,693.0,2003-2015,11.0,LW,2003,2015
Juha Widing,575.0,144.0,226.0,370.0,0.643,208.0,1969-1977,8.0,C,1969,1977
John-Michael Liles,836.0,87.0,283.0,370.0,0.44299999999999995,286.0,2003-2017,13.0,D,2003,2017
Moe Mantha,656.0,81.0,289.0,370.0,0.564,501.0,1980-1992,12.0,D,1980,1992
Sid Smith,601.0,186.0,183.0,369.0,0.614,94.0,1946-1958,12.0,LW,1946,1958
Matt Moulson,650.0,176.0,193.0,369.0,0.568,122.0,2007-2018,11.0,LW/RW,2007,2018
Dave Reid,961.0,165.0,204.0,369.0,0.384,253.0,1983-2001,18.0,LW,1983,2001
Fleming Mackell,665.0,149.0,220.0,369.0,0.555,562.0,1947-1960,13.0,C,1947,1960
Greg Johnson,785.0,145.0,224.0,369.0,0.47,345.0,1993-2007,13.0,C,1993,2007
Stefan Persson,622.0,52.0,317.0,369.0,0.593,574.0,1977-1986,9.0,D,1977,1986
Cam Atkinson,571.0,198.0,170.0,368.0,0.644,142.0,2011-2021,10.0,RW,2011,2021
Brad Maxwell,612.0,98.0,270.0,368.0,0.601,1292.0,1977-1987,10.0,D,1977,1987
Jim Neilson,1023.0,69.0,299.0,368.0,0.36,904.0,1962-1978,16.0,D,1962,1978
Mark Hardy,915.0,62.0,306.0,368.0,0.402,1293.0,1979-1994,15.0,D,1979,1994
Bill Cook,474.0,229.0,138.0,367.0,0.774,386.0,1926-1937,11.0,RW,1926,1937
Artyom Anisimov,752.0,178.0,189.0,367.0,0.488,212.0,2008-2021,13.0,C/LW,2008,2021
Gary Bergman,838.0,68.0,299.0,367.0,0.43799999999999994,1249.0,1964-1976,12.0,D,1964,1976
Jorgen Pettersson,435.0,174.0,192.0,366.0,0.841,117.0,1980-1986,6.0,LW,1980,1986
Ruslan Fedotenko,863.0,173.0,193.0,366.0,0.424,472.0,2000-2013,12.0,LW/RW,2000,2013
Grant Ledyard,1028.0,90.0,276.0,366.0,0.35600000000000004,766.0,1984-2002,18.0,D,1984,2002
Mike Comrie,589.0,168.0,197.0,365.0,0.62,443.0,2000-2011,10.0,C,2000,2011
Mikael Backlund,690.0,145.0,220.0,365.0,0.529,335.0,2008-2021,13.0,C,2008,2021
Kris Draper,1157.0,161.0,203.0,364.0,0.315,790.0,1990-2011,20.0,C,1990,2011
Jaden Schwartz,520.0,146.0,218.0,364.0,0.7,133.0,2011-2021,10.0,LW,2011,2021
Marcus Johansson,648.0,129.0,235.0,364.0,0.562,104.0,2010-2021,11.0,C/LW,2010,2021
Oliver Ekman Larsson,723.0,125.0,239.0,364.0,0.503,450.0,2010-2021,11.0,D,2010,2021
Troy Brouwer,851.0,182.0,181.0,363.0,0.42700000000000005,595.0,2006-2020,14.0,RW/LW,2006,2020
Randy McKay,932.0,162.0,201.0,363.0,0.389,1731.0,1988-2003,15.0,RW,1988,2003
Jean-Claude Tremblay,794.0,57.0,306.0,363.0,0.457,204.0,1959-1972,13.0,D,1959,1972
"Bryan Hextall, Sr.",449.0,187.0,175.0,362.0,0.8059999999999999,227.0,1936-1948,11.0,LW,1936,1948
Paul Ranheim,1013.0,161.0,199.0,360.0,0.355,288.0,1988-2003,15.0,LW,1988,2003
Brian Savage,674.0,192.0,167.0,359.0,0.5329999999999999,321.0,1993-2006,12.0,LW,1993,2006
Mike Hoffman,493.0,172.0,187.0,359.0,0.728,177.0,2011-2020,9.0,LW/RW,2011,2020
Tim Ecclestone,692.0,126.0,233.0,359.0,0.519,344.0,1967-1978,11.0,RW,1967,1978
Marty McSorley,961.0,108.0,251.0,359.0,0.374,3381.0,1983-2000,17.0,D,1983,2000
Kris Versteeg,643.0,149.0,209.0,358.0,0.557,374.0,2007-2018,11.0,RW/LW,2007,2018
Eric Bélanger,820.0,138.0,220.0,358.0,0.43700000000000006,361.0,2000-2013,12.0,C,2000,2013
Behn Wilson,601.0,98.0,260.0,358.0,0.596,1480.0,1978-1988,9.0,D,1978,1988
John Van Boxmeer,588.0,84.0,274.0,358.0,0.609,465.0,1973-1984,11.0,D,1973,1984
Jamie Macoun,1128.0,76.0,282.0,358.0,0.317,1210.0,1982-1999,16.0,D,1982,1999
Gary Sabourin,627.0,169.0,188.0,357.0,0.569,397.0,1967-1977,10.0,RW,1967,1977
Ray Neufeld,595.0,157.0,200.0,357.0,0.6,816.0,1979-1990,11.0,RW,1979,1990
Bill Clement,719.0,148.0,208.0,356.0,0.495,383.0,1971-1982,11.0,C,1971,1982
Pierre-Marc Bouchard,593.0,110.0,246.0,356.0,0.6,190.0,2002-2014,11.0,C,2002,2014
Matt Niskanen,949.0,72.0,284.0,356.0,0.375,489.0,2007-2020,13.0,D,2007,2020
Dan Hamhuis,1148.0,59.0,297.0,356.0,0.31,684.0,2003-2020,16.0,D,2003,2020
Barry Beck,615.0,104.0,251.0,355.0,0.5770000000000001,1016.0,1977-1990,10.0,D,1977,1990
Risto Siltanen,562.0,90.0,265.0,355.0,0.632,266.0,1979-1987,8.0,D,1979,1987
Reilly Smith,577.0,144.0,210.0,354.0,0.614,150.0,2011-2021,10.0,RW/LW,2011,2021
Todd Gill,1007.0,82.0,272.0,354.0,0.35200000000000004,1214.0,1984-2003,19.0,D,1984,2003
Ted Hampson,676.0,108.0,245.0,353.0,0.522,94.0,1959-1972,12.0,C,1959,1972
Tim Higgins,706.0,154.0,198.0,352.0,0.499,719.0,1978-1989,11.0,RW,1978,1989
Perry Turnbull,608.0,188.0,163.0,351.0,0.5770000000000001,1245.0,1979-1988,9.0,LW,1979,1988
Dave Lowry,1084.0,164.0,187.0,351.0,0.324,1191.0,1985-2004,19.0,LW,1985,2004
Niklas Sundstrom,750.0,117.0,232.0,349.0,0.465,256.0,1995-2006,10.0,C,1995,2006
John Madden,898.0,165.0,183.0,348.0,0.38799999999999996,219.0,1998-2012,13.0,C,1998,2012
Gustav Nyquist,570.0,146.0,202.0,348.0,0.611,144.0,2011-2021,10.0,RW/LW,2011,2021
Brandon Saad,588.0,169.0,178.0,347.0,0.59,108.0,2011-2021,10.0,LW,2011,2021
Tomas Tatar,575.0,166.0,181.0,347.0,0.603,216.0,2010-2021,10.0,LW/RW,2010,2021
Jacques Richard,556.0,160.0,187.0,347.0,0.624,307.0,1972-1983,10.0,C,1972,1983
Mike Corrigan,594.0,151.0,196.0,347.0,0.584,698.0,1967-1978,10.0,LW,1967,1978
Ted Donato,796.0,150.0,197.0,347.0,0.436,396.0,1991-2004,13.0,LW,1991,2004
Mikael Samuelsson,699.0,149.0,197.0,346.0,0.495,370.0,2000-2014,13.0,RW,2000,2014
Tuomo Ruutu,735.0,146.0,200.0,346.0,0.47100000000000003,596.0,2003-2016,12.0,LW/RW,2003,2016
Stan Weir,642.0,139.0,207.0,346.0,0.539,183.0,1972-1983,10.0,C,1972,1983
Igor Korolyov,795.0,119.0,227.0,346.0,0.435,330.0,1992-2004,12.0,C,1992,2004
George Sullivan,557.0,107.0,239.0,346.0,0.621,441.0,1949-1961,11.0,C,1949,1961
Vladimir Malakhov,712.0,86.0,260.0,346.0,0.486,697.0,1992-2006,13.0,D,1992,2006
Tyson Barrie,554.0,80.0,266.0,346.0,0.625,179.0,2011-2021,10.0,D,2011,2021
Sergio Momesso,710.0,152.0,193.0,345.0,0.486,1557.0,1983-1997,13.0,LW,1983,1997
Sergei Nemchinov,761.0,152.0,193.0,345.0,0.45299999999999996,251.0,1991-2002,11.0,C,1991,2002
Marcel Pronovost,1206.0,88.0,257.0,345.0,0.28600000000000003,851.0,1949-1970,21.0,D,1949,1970
Jaroslav Spacek,880.0,82.0,263.0,345.0,0.392,628.0,1998-2012,13.0,D,1998,2012
Mike Ramsey,1070.0,79.0,266.0,345.0,0.322,1012.0,1979-1997,18.0,D,1979,1997
Gaye Stewart,502.0,185.0,159.0,344.0,0.685,274.0,1941-1954,11.0,RW,1941,1954
Réal Cloutier,317.0,146.0,198.0,344.0,1.085,119.0,1979-1985,6.0,RW,1979,1985
Reijo Ruotsalainen,446.0,107.0,237.0,344.0,0.7709999999999999,180.0,1981-1990,7.0,D,1981,1990
Tomas Jonsson,552.0,85.0,259.0,344.0,0.623,482.0,1981-1989,8.0,D,1981,1989
Greg Polis,615.0,174.0,169.0,343.0,0.5579999999999999,391.0,1970-1980,10.0,LW,1970,1980
Nick Mickoski,703.0,158.0,185.0,343.0,0.488,319.0,1947-1960,13.0,RW,1947,1960
Trent Klatt,782.0,143.0,200.0,343.0,0.439,307.0,1991-2004,13.0,RW,1991,2004
Brian Skrudland,881.0,124.0,219.0,343.0,0.389,1107.0,1985-2000,15.0,C,1985,2000
Mattias Ohlund,909.0,93.0,250.0,343.0,0.377,885.0,1997-2016,18.0,D,1997,2016
Doug Lidster,897.0,75.0,268.0,343.0,0.382,679.0,1983-1999,16.0,D,1983,1999
Pat Elynuik,506.0,154.0,188.0,342.0,0.6759999999999999,449.0,1987-1996,9.0,RW,1987,1996
Duane Sutter,731.0,139.0,203.0,342.0,0.46799999999999997,1333.0,1979-1990,11.0,RW,1979,1990
Keith Brown,876.0,68.0,274.0,342.0,0.39,916.0,1979-1995,16.0,D,1979,1995
Craig Laughlin,549.0,136.0,205.0,341.0,0.621,364.0,1981-1989,8.0,RW,1981,1989
Bill Thoms,548.0,135.0,206.0,341.0,0.622,154.0,1932-1945,13.0,C,1932,1945
Bob Berry,541.0,159.0,181.0,340.0,0.628,344.0,1968-1977,8.0,LW,1968,1977
Christian Ehrhoff,789.0,74.0,266.0,340.0,0.431,517.0,2003-2016,12.0,D,2003,2016
Joe Carveth,504.0,150.0,189.0,339.0,0.6729999999999999,81.0,1940-1951,11.0,RW,1940,1951
Sami Salo,878.0,99.0,240.0,339.0,0.386,286.0,1998-2014,15.0,D,1998,2014
Kyle Palmieri,561.0,175.0,163.0,338.0,0.602,288.0,2010-2021,11.0,RW,2010,2021
Scott Arniel,730.0,149.0,189.0,338.0,0.46299999999999997,599.0,1981-1992,11.0,LW,1981,1992
Robert Kron,771.0,144.0,194.0,338.0,0.43799999999999994,119.0,1990-2002,12.0,LW,1990,2002
Martin Hanzal,673.0,126.0,211.0,337.0,0.501,574.0,2007-2020,13.0,C,2007,2020
Torey Krug,523.0,67.0,270.0,337.0,0.644,220.0,2011-2021,10.0,D,2011,2021
Pat Stapleton,635.0,43.0,294.0,337.0,0.531,353.0,1961-1973,10.0,D,1961,1973
Steve Heinze,694.0,178.0,158.0,336.0,0.484,379.0,1991-2003,12.0,RW,1991,2003
Paul Ysebaert,532.0,149.0,187.0,336.0,0.632,217.0,1988-1999,11.0,LW,1988,1999
Ian Laperriere,1082.0,121.0,215.0,336.0,0.311,1949.0,1993-2012,18.0,RW,1993,2012
Dale Tallon,642.0,98.0,238.0,336.0,0.523,568.0,1970-1980,10.0,D,1970,1980
Kevin Miller,620.0,150.0,185.0,335.0,0.54,429.0,1988-2004,13.0,RW,1988,2004
Lynn Patrick,455.0,145.0,190.0,335.0,0.736,240.0,1934-1946,10.0,LW,1934,1946
Tomas Fleischmann,657.0,137.0,198.0,335.0,0.51,200.0,2005-2016,11.0,LW,2005,2016
Brad Stuart,1056.0,80.0,255.0,335.0,0.317,565.0,1999-2016,16.0,D,1999,2016
Robert Svehla,655.0,68.0,267.0,335.0,0.511,649.0,1994-2003,9.0,D,1994,2003
Randy Wood,741.0,175.0,159.0,334.0,0.451,603.0,1986-1997,11.0,LW,1986,1997
Curt Bennett,580.0,152.0,182.0,334.0,0.5760000000000001,347.0,1970-1980,10.0,LW/RW,1970,1980
Alexander Radulov,442.0,136.0,198.0,334.0,0.7559999999999999,308.0,2006-2021,8.0,RW,2006,2021
Bobby Lalonde,641.0,124.0,210.0,334.0,0.521,298.0,1971-1982,11.0,C,1971,1982
Cooney Weiland,509.0,173.0,160.0,333.0,0.654,147.0,1928-1939,11.0,C,1928,1939
Chris Higgins,711.0,165.0,168.0,333.0,0.46799999999999997,220.0,2003-2016,12.0,LW,2003,2016
Filip Kuba,836.0,70.0,263.0,333.0,0.39799999999999996,361.0,1998-2013,14.0,D,1998,2013
Johnny Wilson,688.0,161.0,171.0,332.0,0.483,190.0,1949-1962,13.0,LW,1949,1962
Paul Thompson,582.0,153.0,179.0,332.0,0.57,336.0,1926-1939,13.0,LW,1926,1939
Simon Nolet,562.0,150.0,182.0,332.0,0.591,187.0,1967-1977,10.0,RW,1967,1977
Brooks Laich,776.0,134.0,198.0,332.0,0.428,307.0,2003-2018,13.0,C/LW,2003,2018
Dave Barr,614.0,128.0,204.0,332.0,0.541,520.0,1981-1994,13.0,RW,1981,1994
Orland Kurtenbach,639.0,119.0,213.0,332.0,0.52,628.0,1960-1974,13.0,C,1960,1974
Ulf Samuelsson,1080.0,57.0,275.0,332.0,0.307,2453.0,1984-2000,16.0,D,1984,2000
Steve Bozek,641.0,164.0,167.0,331.0,0.516,309.0,1981-1992,11.0,LW,1981,1992
Ted Irvine,724.0,154.0,177.0,331.0,0.457,657.0,1963-1977,11.0,LW,1963,1977
Derian Hatcher,1045.0,79.0,252.0,331.0,0.317,1581.0,1991-2009,17.0,D,1991,2009
Rod Seiling,979.0,62.0,269.0,331.0,0.33799999999999997,601.0,1962-1979,17.0,D,1962,1979
Gilles Tremblay,509.0,168.0,162.0,330.0,0.648,161.0,1960-1969,9.0,LW,1960,1969
Craig Smith,661.0,162.0,168.0,330.0,0.499,264.0,2011-2021,10.0,RW,2011,2021
Metro Prystai,674.0,151.0,179.0,330.0,0.49,231.0,1947-1958,11.0,C,1947,1958
Miroslav Frycer,415.0,147.0,183.0,330.0,0.795,486.0,1981-1989,8.0,RW,1981,1989
Cy Denneny,325.0,248.0,81.0,329.0,1.012,266.0,1917-1929,12.0,LW,1917,1929
Tom Fitzgerald,1097.0,139.0,190.0,329.0,0.3,776.0,1988-2006,17.0,RW,1988,2006
Mark Pavelich,355.0,137.0,192.0,329.0,0.927,340.0,1981-1992,7.0,C,1981,1992
Todd Elik,448.0,111.0,218.0,329.0,0.7340000000000001,453.0,1989-1997,8.0,C,1989,1997
Jim McKenny,604.0,82.0,247.0,329.0,0.545,294.0,1965-1979,14.0,D,1965,1979
Rod Langway,994.0,51.0,278.0,329.0,0.331,851.0,1978-1993,15.0,D,1978,1993
Ken Houston,570.0,161.0,167.0,328.0,0.575,624.0,1975-1984,9.0,RW,1975,1984
Doug Sulliman,631.0,160.0,168.0,328.0,0.52,175.0,1979-1990,11.0,RW,1979,1990
Ron Flockhart,453.0,145.0,183.0,328.0,0.7240000000000001,208.0,1980-1989,9.0,RW,1980,1989
Michel Petit,827.0,90.0,238.0,328.0,0.397,1839.0,1982-1998,16.0,D,1982,1998
Alexandre Daigle,616.0,129.0,198.0,327.0,0.531,186.0,1993-2006,10.0,C,1993,2006
Mikkel Bodker,709.0,118.0,209.0,327.0,0.461,116.0,2008-2020,12.0,LW/RW,2008,2020
Tom Poti,824.0,69.0,258.0,327.0,0.397,586.0,1998-2013,14.0,D,1998,2013
Patrik Berglund,717.0,170.0,156.0,326.0,0.455,248.0,2008-2019,11.0,C,2008,2019
Johnny Peirson,545.0,153.0,173.0,326.0,0.598,315.0,1946-1958,11.0,RW,1946,1958
Bronco Horvath,434.0,141.0,185.0,326.0,0.7509999999999999,319.0,1955-1968,9.0,C,1955,1968
Ron Wilson,832.0,110.0,216.0,326.0,0.392,415.0,1979-1994,14.0,C/LW,1979,1994
Marc-Edouard Vlasic,1035.0,72.0,254.0,326.0,0.315,402.0,2006-2021,15.0,D,2006,2021
Doug Shedden,416.0,139.0,186.0,325.0,0.7809999999999999,176.0,1981-1991,8.0,C,1981,1991
Ken Schinkel,636.0,127.0,198.0,325.0,0.511,163.0,1959-1973,12.0,RW,1959,1973
Bob Dailey,561.0,94.0,231.0,325.0,0.579,814.0,1973-1982,9.0,D,1973,1982
Tony Leswick,740.0,165.0,159.0,324.0,0.43799999999999994,900.0,1945-1958,12.0,LW,1945,1958
Ebbie Goodfellow,557.0,134.0,190.0,324.0,0.5820000000000001,511.0,1929-1943,14.0,D/F,1929,1943
Mathieu Perreault,627.0,130.0,194.0,324.0,0.517,302.0,2009-2021,12.0,C/LW,2009,2021
Willy Lindstrom,582.0,161.0,162.0,323.0,0.555,200.0,1979-1987,8.0,RW,1979,1987
Paul Holmgren,527.0,144.0,179.0,323.0,0.613,1684.0,1975-1985,10.0,RW,1975,1985
Parker MacDonald,676.0,144.0,179.0,323.0,0.478,253.0,1952-1969,14.0,LW,1952,1969
Alexei Ponikarovsky,678.0,139.0,184.0,323.0,0.47600000000000003,419.0,2000-2013,12.0,LW,2000,2013
Dave Hunter,746.0,133.0,190.0,323.0,0.433,918.0,1979-1989,10.0,LW,1979,1989
Gord Murphy,862.0,85.0,238.0,323.0,0.375,668.0,1988-2002,14.0,D,1988,2002
Bryan Berard,619.0,76.0,247.0,323.0,0.522,500.0,1996-2008,10.0,D,1996,2008
Chris Stewart,668.0,160.0,162.0,322.0,0.48200000000000004,750.0,2008-2020,11.0,RW/LW,2008,2020
Pat Falloon,575.0,143.0,179.0,322.0,0.56,141.0,1991-2000,9.0,RW,1991,2000
Mike York,579.0,127.0,195.0,322.0,0.556,135.0,1999-2009,9.0,C,1999,2009
Leo Boivin,1150.0,72.0,250.0,322.0,0.28,1192.0,1951-1970,19.0,D,1951,1970
Leo Labine,643.0,128.0,193.0,321.0,0.499,730.0,1951-1962,11.0,RW,1951,1962
William Huber,655.0,104.0,217.0,321.0,0.49,950.0,1978-1988,10.0,D,1978,1988
Gilles Marotte,808.0,56.0,265.0,321.0,0.397,919.0,1965-1977,12.0,D,1965,1977
Dennis Kearns,677.0,31.0,290.0,321.0,0.474,386.0,1971-1981,10.0,D,1971,1981
Jimmy Roberts,1006.0,126.0,194.0,320.0,0.318,621.0,1963-1978,15.0,D/RW,1963,1978
Don Raleigh,535.0,101.0,219.0,320.0,0.598,96.0,1943-1956,10.0,C,1943,1956
Paul Martin,870.0,50.0,270.0,320.0,0.368,238.0,2003-2018,14.0,D,2003,2018
Gary Croteau,684.0,144.0,175.0,319.0,0.466,143.0,1968-1980,12.0,LW/RW,1968,1980
Blake Comeau,852.0,136.0,183.0,319.0,0.374,532.0,2006-2021,15.0,LW/RW,2006,2021
Janne Niinimaa,741.0,54.0,265.0,319.0,0.43,733.0,1996-2007,10.0,D,1996,2007
George Gee,551.0,135.0,183.0,318.0,0.5770000000000001,345.0,1945-1954,9.0,C,1945,1954
David Vyborny,543.0,113.0,204.0,317.0,0.584,228.0,2000-2008,7.0,C,2000,2008
Oleg Tverdovsky,713.0,77.0,240.0,317.0,0.445,291.0,1994-2007,11.0,D,1994,2007
Dave Maloney,657.0,71.0,246.0,317.0,0.48200000000000004,1154.0,1974-1985,11.0,D,1974,1985
René Bourque,725.0,163.0,153.0,316.0,0.436,584.0,2005-2017,12.0,LW/RW,2005,2017
Chris Kreider,523.0,157.0,159.0,316.0,0.604,441.0,2011-2021,10.0,LW,2011,2021
Larry Patey,717.0,153.0,163.0,316.0,0.441,631.0,1973-1985,12.0,C,1973,1985
Stéphane Matteau,848.0,144.0,172.0,316.0,0.373,742.0,1990-2003,13.0,LW,1990,2003
André St-Laurent,644.0,129.0,187.0,316.0,0.491,749.0,1973-1984,11.0,C,1973,1984
Rich Sutter,874.0,149.0,166.0,315.0,0.36,1411.0,1982-1995,13.0,RW,1982,1995
Dave Creighton,616.0,140.0,174.0,314.0,0.51,223.0,1948-1960,12.0,C,1948,1960
