Name,GP,G,A,TP,PPG,PIM,Period,Years,POS,firstYear,lastYear
Doug Janik,190.0,3.0,16.0,19.0,0.1,154.0,2002-2012,9.0,D,2002,2012
Reed Low,256.0,3.0,16.0,19.0,0.07400000000000001,725.0,2000-2007,5.0,RW,2000,2007
Chris O'Sullivan,62.0,2.0,17.0,19.0,0.306,16.0,1996-2003,5.0,D,1996,2003
Francois Lacombe,78.0,2.0,17.0,19.0,0.244,54.0,1968-1980,4.0,D,1968,1980
Dane Jackson,45.0,12.0,6.0,18.0,0.4,58.0,1993-1998,4.0,RW,1993,1998
Raitis Ivanans,282.0,12.0,6.0,18.0,0.064,569.0,2005-2012,7.0,LW,2005,2012
Jay Mazur,47.0,11.0,7.0,18.0,0.38299999999999995,20.0,1988-1992,4.0,RW,1988,1992
Daniel Lacroix,188.0,11.0,7.0,18.0,0.096,379.0,1993-2000,7.0,LW,1993,2000
Rusty Crawford,38.0,10.0,8.0,18.0,0.474,117.0,1917-1919,2.0,RW,1917,1919
Lex Chisholm,54.0,10.0,8.0,18.0,0.33299999999999996,19.0,1939-1941,2.0,C,1939,1941
Steve Larouche,26.0,9.0,9.0,18.0,0.6920000000000001,10.0,1994-1996,2.0,C,1994,1996
Marko Tuomainen,79.0,9.0,9.0,18.0,0.228,84.0,1994-2002,4.0,RW,1994,2002
Wally Schreiber,41.0,8.0,10.0,18.0,0.439,12.0,1987-1989,2.0,RW,1987,1989
Ken Berry,55.0,8.0,10.0,18.0,0.327,30.0,1981-1989,4.0,RW,1981,1989
Normand Dubé,57.0,8.0,10.0,18.0,0.316,54.0,1974-1976,2.0,LW,1974,1976
Mike McDougall,61.0,8.0,10.0,18.0,0.295,43.0,1978-1983,4.0,RW,1978,1983
Randy Wyrozub,100.0,8.0,10.0,18.0,0.18,10.0,1970-1974,4.0,C,1970,1974
Dody Wood,106.0,8.0,10.0,18.0,0.17,471.0,1992-1998,5.0,LW,1992,1998
Aaron Downey,243.0,8.0,10.0,18.0,0.07400000000000001,494.0,1999-2009,9.0,RW,1999,2009
Ike Hildebrand,41.0,7.0,11.0,18.0,0.439,16.0,1953-1955,2.0,RW,1953,1955
Patrice Tardif,65.0,7.0,11.0,18.0,0.27699999999999997,78.0,1994-1996,2.0,C,1994,1996
Lennart Petrell,95.0,7.0,11.0,18.0,0.18899999999999997,49.0,2011-2013,2.0,LW/RW,2011,2013
Kent Carlson,113.0,7.0,11.0,18.0,0.159,148.0,1983-1989,5.0,D,1983,1989
John Adams,42.0,6.0,12.0,18.0,0.429,9.0,1940-1941,1.0,LW,1940,1941
Ivan Huml,49.0,6.0,12.0,18.0,0.36700000000000005,36.0,2001-2004,3.0,W/C,2001,2004
Les Douglas,52.0,6.0,12.0,18.0,0.34600000000000003,8.0,1940-1947,4.0,C,1940,1947
Tony Salmelainen,70.0,6.0,12.0,18.0,0.257,30.0,2003-2007,2.0,LW/RW,2003,2007
Darryl Boyce,84.0,6.0,12.0,18.0,0.214,68.0,2007-2012,3.0,C/W,2007,2012
Glenn Hicks,108.0,6.0,12.0,18.0,0.16699999999999998,127.0,1979-1981,2.0,LW/D,1979,1981
Philippe Dupuis,116.0,6.0,12.0,18.0,0.155,62.0,2008-2012,4.0,C/RW,2008,2012
Colton Gillies,154.0,6.0,12.0,18.0,0.11699999999999999,72.0,2008-2013,4.0,C/W,2008,2013
Eric Godard,335.0,6.0,12.0,18.0,0.054000000000000006,833.0,2002-2011,8.0,RW,2002,2011
Dave Sacco,35.0,5.0,13.0,18.0,0.514,22.0,1993-1996,3.0,C,1993,1996
Pavel Rosa,36.0,5.0,13.0,18.0,0.5,6.0,1998-2004,4.0,RW,1998,2004
Robert Kabel,48.0,5.0,13.0,18.0,0.375,34.0,1959-1961,2.0,C,1959,1961
Mark Hamway,53.0,5.0,13.0,18.0,0.34,9.0,1984-1987,3.0,RW,1984,1987
Pat MacLeod,53.0,5.0,13.0,18.0,0.34,14.0,1990-1996,4.0,D,1990,1996
Mark Vermette,67.0,5.0,13.0,18.0,0.26899999999999996,33.0,1988-1992,4.0,RW,1988,1992
Larry Trader,91.0,5.0,13.0,18.0,0.198,74.0,1982-1988,4.0,D,1982,1988
Steve Webb,321.0,5.0,13.0,18.0,0.055999999999999994,532.0,1996-2004,8.0,RW,1996,2004
Magnus Svensson,46.0,4.0,14.0,18.0,0.391,31.0,1994-1996,2.0,D,1994,1996
Fred Boimistruck,83.0,4.0,14.0,18.0,0.217,45.0,1981-1983,2.0,D,1981,1983
Greg Brown,94.0,4.0,14.0,18.0,0.191,86.0,1990-1995,4.0,D,1990,1995
Michael Sauer,98.0,4.0,14.0,18.0,0.184,96.0,2008-2013,4.0,D,2008,2013
Gord Hollingworth,163.0,4.0,14.0,18.0,0.11,201.0,1954-1958,4.0,D,1954,1958
Marc-André Gragnani,78.0,3.0,15.0,18.0,0.231,36.0,2007-2016,6.0,D,2007,2016
Rob Davison,219.0,3.0,15.0,18.0,0.08199999999999999,321.0,2002-2010,7.0,D,2002,2010
Ray McKay,140.0,2.0,16.0,18.0,0.129,102.0,1968-1974,6.0,D,1968,1974
Butch Deadmarsh,137.0,12.0,5.0,17.0,0.124,155.0,1970-1975,5.0,LW,1970,1975
André Faust,47.0,10.0,7.0,17.0,0.36200000000000004,14.0,1992-1994,2.0,C,1992,1994
Sid Finney,59.0,10.0,7.0,17.0,0.28800000000000003,4.0,1951-1954,3.0,C,1951,1954
Jean-Francois Jacques,166.0,9.0,8.0,17.0,0.102,197.0,2005-2012,7.0,LW/C,2005,2012
Roland Cloutier,34.0,8.0,9.0,17.0,0.5,2.0,1977-1980,3.0,C,1977,1980
Miroslav Ihnacak,56.0,8.0,9.0,17.0,0.304,39.0,1985-1989,3.0,RW,1985,1989
Joe Bell,62.0,8.0,9.0,17.0,0.27399999999999997,18.0,1942-1947,2.0,LW,1942,1947
Wayne Maxner,62.0,8.0,9.0,17.0,0.27399999999999997,48.0,1964-1966,2.0,LW,1964,1966
Thomas Pock,118.0,8.0,9.0,17.0,0.14400000000000002,55.0,2003-2009,5.0,D,2003,2009
Mark Cullen,38.0,7.0,10.0,17.0,0.447,4.0,2005-2012,3.0,C/LW,2005,2012
Bill Knibbs,53.0,7.0,10.0,17.0,0.321,4.0,1964-1965,1.0,C,1964,1965
Stefan Ustorf,54.0,7.0,10.0,17.0,0.315,16.0,1995-1997,2.0,C,1995,1997
Jim McGeough,57.0,7.0,10.0,17.0,0.298,32.0,1981-1987,4.0,C,1981,1987
Roman Simicek,63.0,7.0,10.0,17.0,0.27,59.0,2000-2002,2.0,C,2000,2002
Michel Galarneau,78.0,7.0,10.0,17.0,0.218,34.0,1980-1983,3.0,RW,1980,1983
Greg Classen,90.0,7.0,10.0,17.0,0.18899999999999997,48.0,2000-2003,3.0,C/W,2000,2003
Tomas Vincour,95.0,7.0,10.0,17.0,0.179,12.0,2010-2015,4.0,C/RW,2010,2015
Blair Jones,132.0,7.0,10.0,17.0,0.129,65.0,2006-2015,8.0,C/RW,2006,2015
Thommy Abrahamsson,32.0,6.0,11.0,17.0,0.531,16.0,1980-1981,1.0,D,1980,1981
Ari Haanpaa,60.0,6.0,11.0,17.0,0.28300000000000003,37.0,1985-1988,3.0,LW,1985,1988
Vern Ayres,211.0,6.0,11.0,17.0,0.081,350.0,1930-1936,6.0,D,1930,1936
Bobby Rivard,27.0,5.0,12.0,17.0,0.63,4.0,1967-1968,1.0,C,1967,1968
Jim Nahrgang,57.0,5.0,12.0,17.0,0.298,34.0,1974-1977,3.0,D,1974,1977
Tom O'Regan,61.0,5.0,12.0,17.0,0.27899999999999997,10.0,1983-1986,3.0,D/LW,1983,1986
Glenn Merkosky,66.0,5.0,12.0,17.0,0.258,22.0,1981-1990,5.0,C,1981,1990
Hank Monteith,77.0,5.0,12.0,17.0,0.221,6.0,1968-1971,3.0,LW,1968,1971
Bruce Cassidy,36.0,4.0,13.0,17.0,0.47200000000000003,10.0,1983-1990,6.0,D,1983,1990
Stefan Ruzicka,55.0,4.0,13.0,17.0,0.309,47.0,2005-2008,3.0,RW,2005,2008
Murray Eaves,57.0,4.0,13.0,17.0,0.298,9.0,1980-1990,8.0,C,1980,1990
Brian Swanson,70.0,4.0,13.0,17.0,0.243,16.0,2000-2004,4.0,C,2000,2004
Tyler Sloan,99.0,4.0,13.0,17.0,0.172,50.0,2008-2011,3.0,D,2008,2011
Derek Meech,144.0,4.0,13.0,17.0,0.11800000000000001,45.0,2006-2013,6.0,D,2006,2013
Theo Peckham,160.0,4.0,13.0,17.0,0.106,388.0,2007-2013,6.0,D,2007,2013
Milan Bartovic,50.0,3.0,14.0,17.0,0.34,26.0,2002-2006,3.0,RW/LW,2002,2006
Peter Wallin,52.0,3.0,14.0,17.0,0.327,14.0,1980-1982,2.0,RW,1980,1982
Michel Parizeau,59.0,3.0,14.0,17.0,0.28800000000000003,18.0,1971-1972,1.0,LW,1971,1972
Dylan Reese,78.0,3.0,14.0,17.0,0.218,40.0,2009-2015,5.0,D,2009,2015
Jimmie Olvestad,111.0,3.0,14.0,17.0,0.153,40.0,2001-2003,2.0,LW,2001,2003
Harry Hyland,17.0,14.0,2.0,16.0,0.941,65.0,1917-1918,1.0,RW,1917,1918
Todd Bergen,14.0,11.0,5.0,16.0,1.143,4.0,1984-1985,1.0,F,1984,1985
Dan Snyder,49.0,11.0,5.0,16.0,0.327,64.0,2000-2003,3.0,C,2000,2003
Lloyd Gross,62.0,11.0,5.0,16.0,0.258,20.0,1926-1935,3.0,LW,1926,1935
Matt Fraser,87.0,11.0,5.0,16.0,0.184,27.0,2011-2015,4.0,RW/LW,2011,2015
Rod Zaine,61.0,10.0,6.0,16.0,0.262,25.0,1970-1972,2.0,C,1970,1972
Vladimir Vorobyov,33.0,9.0,7.0,16.0,0.485,14.0,1996-1999,3.0,LW,1996,1999
Reginald Thomas,39.0,9.0,7.0,16.0,0.41,6.0,1979-1980,1.0,C,1979,1980
Igor Radulov,43.0,9.0,7.0,16.0,0.37200000000000005,22.0,2002-2004,2.0,LW,2002,2004
Rich Chernomaz,51.0,9.0,7.0,16.0,0.314,18.0,1981-1992,7.0,RW,1981,1992
Ron Hurst,64.0,9.0,7.0,16.0,0.25,70.0,1955-1957,2.0,RW,1955,1957
Rick Rypien,119.0,9.0,7.0,16.0,0.134,226.0,2005-2011,6.0,C,2005,2011
Doug Brennan,123.0,9.0,7.0,16.0,0.13,152.0,1931-1934,3.0,D,1931,1934
Troy Crowder,150.0,9.0,7.0,16.0,0.107,433.0,1987-1997,7.0,RW,1987,1997
Jack Forsey,19.0,7.0,9.0,16.0,0.8420000000000001,10.0,1942-1943,1.0,RW,1942,1943
Russ Kopak,24.0,7.0,9.0,16.0,0.667,0.0,1943-1944,1.0,C,1943,1944
Felix Mancuso,42.0,7.0,9.0,16.0,0.381,17.0,1937-1943,4.0,RW,1937,1943
Kevin Brown,64.0,7.0,9.0,16.0,0.25,28.0,1994-2000,6.0,RW,1994,2000
Don Poile,66.0,7.0,9.0,16.0,0.242,12.0,1954-1958,2.0,C,1954,1958
Chris Ferraro,74.0,7.0,9.0,16.0,0.21600000000000003,57.0,1995-2002,6.0,C,1995,2002
Tomas Plihal,89.0,7.0,9.0,16.0,0.18,26.0,2006-2009,3.0,LW/C,2006,2009
Kevin Westgarth,169.0,7.0,9.0,16.0,0.095,266.0,2008-2014,5.0,RW,2008,2014
Casey Wellman,54.0,6.0,10.0,16.0,0.29600000000000004,4.0,2009-2014,4.0,RW/C,2009,2014
Benoit Gratton,58.0,6.0,10.0,16.0,0.276,58.0,1997-2004,6.0,C,1997,2004
Tony Graboski,66.0,6.0,10.0,16.0,0.242,24.0,1940-1943,3.0,LW,1940,1943
Don Martineau,90.0,6.0,10.0,16.0,0.17800000000000002,63.0,1973-1977,4.0,RW,1973,1977
Yan Stastny,91.0,6.0,10.0,16.0,0.17600000000000002,58.0,2005-2010,5.0,C,2005,2010
Anders Steen,42.0,5.0,11.0,16.0,0.381,22.0,1980-1981,1.0,F,1980,1981
Thomas Forslund,44.0,5.0,11.0,16.0,0.364,12.0,1991-1993,2.0,LW,1991,1993
Patrick Boileau,48.0,5.0,11.0,16.0,0.33299999999999996,26.0,1996-2004,5.0,D,1996,2004
Milos Holan,49.0,5.0,11.0,16.0,0.327,42.0,1993-1996,3.0,D,1993,1996
Martin Strbak,49.0,5.0,11.0,16.0,0.327,46.0,2003-2004,1.0,D,2003,2004
Mike McNeill,63.0,5.0,11.0,16.0,0.254,18.0,1990-1992,2.0,RW,1990,1992
Jack Walker,80.0,5.0,11.0,16.0,0.2,18.0,1926-1928,2.0,LW,1926,1928
Domenic Pittis,86.0,5.0,11.0,16.0,0.18600000000000003,71.0,1996-2004,7.0,C,1996,2004
Dan Mandich,111.0,5.0,11.0,16.0,0.14400000000000002,303.0,1982-1986,4.0,D,1982,1986
Dave Amadio,125.0,5.0,11.0,16.0,0.128,163.0,1957-1969,3.0,D,1957,1969
Eric Tangradi,150.0,5.0,11.0,16.0,0.107,86.0,2009-2019,8.0,LW,2009,2019
Josef Boumedienne,47.0,4.0,12.0,16.0,0.34,36.0,2001-2004,3.0,D,2001,2004
Christer Olsson,56.0,4.0,12.0,16.0,0.28600000000000003,24.0,1995-1997,2.0,D,1995,1997
Derek Joslin,116.0,4.0,12.0,16.0,0.138,63.0,2008-2013,5.0,D,2008,2013
Shawn Heins,125.0,4.0,12.0,16.0,0.128,154.0,1998-2004,6.0,D,1998,2004
Lance Ward,209.0,4.0,12.0,16.0,0.077,391.0,2000-2004,4.0,D,2000,2004
Jason Bonsignore,79.0,3.0,13.0,16.0,0.203,34.0,1994-1999,4.0,C,1994,1999
Derek Boogaard,277.0,3.0,13.0,16.0,0.057999999999999996,589.0,2005-2011,6.0,LW,2005,2011
John Hughes,70.0,2.0,14.0,16.0,0.22899999999999998,211.0,1979-1981,2.0,D,1979,1981
David Harlock,212.0,2.0,14.0,16.0,0.075,188.0,1993-2002,8.0,D,1993,2002
Gary Morrison,43.0,1.0,15.0,16.0,0.37200000000000005,70.0,1979-1982,3.0,F,1979,1982
Matt Lashoff,74.0,1.0,15.0,16.0,0.21600000000000003,59.0,2006-2011,5.0,D,2006,2011
Daniel Goneau,53.0,12.0,3.0,15.0,0.28300000000000003,14.0,1996-2000,3.0,LW,1996,2000
Jesse Spring,133.0,11.0,4.0,15.0,0.113,74.0,1923-1930,6.0,D,1923,1930
Bob Logan,42.0,10.0,5.0,15.0,0.35700000000000004,0.0,1986-1989,3.0,RW,1986,1989
Ed Carpenter,45.0,10.0,5.0,15.0,0.33299999999999996,41.0,1919-1921,2.0,D,1919,1921
Kari Jalonen,37.0,9.0,6.0,15.0,0.405,4.0,1982-1984,2.0,C,1982,1984
Stan Jackson,86.0,9.0,6.0,15.0,0.174,75.0,1921-1927,5.0,LW,1921,1927
Rod Morrison,34.0,8.0,7.0,15.0,0.441,4.0,1947-1948,1.0,RW,1947,1948
Eddie Cooper,49.0,8.0,7.0,15.0,0.306,46.0,1980-1982,2.0,LW,1980,1982
Herberts Vasiljevs,51.0,8.0,7.0,15.0,0.294,22.0,1998-2002,4.0,C,1998,2002
Sergei Varlamov,63.0,8.0,7.0,15.0,0.23800000000000002,26.0,1997-2003,4.0,LW/C,1997,2003
Fred Gordon,81.0,8.0,7.0,15.0,0.185,68.0,1926-1928,2.0,RW,1926,1928
Antti Tormanen,50.0,7.0,8.0,15.0,0.3,28.0,1995-1996,1.0,LW,1995,1996
George Konik,52.0,7.0,8.0,15.0,0.28800000000000003,26.0,1967-1968,1.0,D,1967,1968
Jacques Locas,59.0,7.0,8.0,15.0,0.254,66.0,1947-1949,2.0,RW,1947,1949
Brian Dobbin,63.0,7.0,8.0,15.0,0.23800000000000002,61.0,1986-1992,5.0,RW,1986,1992
Michael Ryan,83.0,7.0,8.0,15.0,0.18100000000000002,34.0,2006-2009,3.0,C/W,2006,2009
Dan Lambert,29.0,6.0,9.0,15.0,0.517,22.0,1990-1992,2.0,D,1990,1992
Hubert Macey,30.0,6.0,9.0,15.0,0.5,0.0,1941-1947,3.0,LW,1941,1947
Vic Myles,45.0,6.0,9.0,15.0,0.33299999999999996,57.0,1942-1943,1.0,D,1942,1943
Steve Gotaas,49.0,6.0,9.0,15.0,0.306,53.0,1987-1991,3.0,C,1987,1991
Kyle Wanvig,75.0,6.0,9.0,15.0,0.2,94.0,2002-2008,5.0,RW,2002,2008
Greg Hubick,77.0,6.0,9.0,15.0,0.195,10.0,1975-1980,2.0,D,1975,1980
Johan Davidsson,83.0,6.0,9.0,15.0,0.18100000000000002,16.0,1998-2000,2.0,C,1998,2000
Kaspars Daugavins,91.0,6.0,9.0,15.0,0.165,21.0,2009-2013,3.0,W/C,2009,2013
Gino Rozzini,31.0,5.0,10.0,15.0,0.484,20.0,1944-1945,1.0,C,1944,1945
Pat McReavy,55.0,5.0,10.0,15.0,0.273,4.0,1938-1942,4.0,C,1938,1942
Mathias Johansson,58.0,5.0,10.0,15.0,0.259,16.0,2002-2003,1.0,C,2002,2003
Nathan Oystrick,65.0,5.0,10.0,15.0,0.231,61.0,2008-2011,3.0,D,2008,2011
Harry Taylor,66.0,5.0,10.0,15.0,0.22699999999999998,30.0,1946-1952,3.0,C,1946,1952
John Doran,98.0,5.0,10.0,15.0,0.153,110.0,1933-1940,5.0,D,1933,1940
John MacMillan,104.0,5.0,10.0,15.0,0.14400000000000002,32.0,1960-1965,5.0,RW,1960,1965
Kevin Morrison,41.0,4.0,11.0,15.0,0.366,23.0,1979-1980,1.0,LW/D,1979,1980
