Name,GP,G,A,TP,PPG,PIM,Period,Years,POS
Rob Gaudreau,231.0,51.0,54.0,105.0,0.455,69.0,1992-1996,4.0,RW/D
Calum MacKay,237.0,50.0,55.0,105.0,0.44299999999999995,214.0,1946-1955,8.0,LW
T.J. Galiardi,321.0,44.0,61.0,105.0,0.327,136.0,2008-2015,7.0,C/LW
Dylan Strome,164.0,36.0,69.0,105.0,0.64,44.0,2016-2020,4.0,C
Jim Vandermeer,461.0,25.0,80.0,105.0,0.228,664.0,2002-2012,9.0,D
Tony DeAngelo,200.0,24.0,81.0,105.0,0.525,172.0,2016-2021,5.0,D
Randy Jones,365.0,20.0,85.0,105.0,0.28800000000000003,185.0,2003-2012,8.0,D
Ken Morrow,550.0,17.0,88.0,105.0,0.191,309.0,1979-1989,10.0,D
Mike Lalor,687.0,17.0,88.0,105.0,0.153,677.0,1985-1997,12.0,D
Rosie Couture,309.0,48.0,56.0,104.0,0.337,184.0,1928-1936,8.0,RW
Robby Fabbri,216.0,46.0,58.0,104.0,0.48100000000000004,78.0,2015-2021,6.0,C/LW
Fredrik Sjostrom,489.0,46.0,58.0,104.0,0.213,190.0,2003-2011,7.0,LW
Andrei Lomakin,215.0,42.0,62.0,104.0,0.484,92.0,1991-1995,4.0,LW
Andy Hilbert,307.0,42.0,62.0,104.0,0.33899999999999997,132.0,2001-2011,9.0,C
Kent Manderville,646.0,37.0,67.0,104.0,0.161,348.0,1991-2003,12.0,C
Carl Voss,261.0,34.0,70.0,104.0,0.39799999999999996,50.0,1926-1938,8.0,C
Eric Perrin,245.0,32.0,72.0,104.0,0.424,92.0,2003-2009,4.0,C
Kyle Chipchura,481.0,31.0,73.0,104.0,0.21600000000000003,376.0,2007-2016,9.0,C/W
Lou Fontinato,535.0,26.0,78.0,104.0,0.19399999999999998,1247.0,1954-1963,9.0,D
Brian Glynn,431.0,25.0,79.0,104.0,0.24100000000000002,410.0,1987-1997,10.0,D
Doug Barkley,253.0,24.0,80.0,104.0,0.41100000000000003,382.0,1957-1966,6.0,D
Wayne Hillman,691.0,18.0,86.0,104.0,0.151,534.0,1960-1973,13.0,D
Rolf Edberg,184.0,45.0,58.0,103.0,0.56,24.0,1978-1981,3.0,C
Jordan Martinook,374.0,43.0,60.0,103.0,0.275,163.0,2014-2021,7.0,W/C
Robert Fillion,327.0,42.0,61.0,103.0,0.315,84.0,1943-1950,7.0,LW
Adrian Kempe,256.0,41.0,62.0,103.0,0.402,134.0,2016-2021,5.0,C/W
Gabriel Bourque,413.0,40.0,63.0,103.0,0.249,75.0,2011-2020,9.0,LW/RW
Alex Motter,255.0,39.0,64.0,103.0,0.40399999999999997,135.0,1934-1943,8.0,D
Christian Bordeleau,205.0,38.0,65.0,103.0,0.502,82.0,1968-1972,4.0,C
Ken Sutton,388.0,23.0,80.0,103.0,0.265,338.0,1990-2002,11.0,D
David Shand,421.0,19.0,84.0,103.0,0.245,544.0,1976-1985,8.0,D
Henry Boucha,247.0,53.0,49.0,102.0,0.413,157.0,1971-1977,6.0,C
Colin Greening,286.0,45.0,57.0,102.0,0.35700000000000004,150.0,2010-2016,6.0,C/LW
Marc Fortier,212.0,42.0,60.0,102.0,0.48100000000000004,135.0,1987-1993,6.0,C
Shawn Thornton,705.0,42.0,60.0,102.0,0.145,1103.0,2002-2017,14.0,RW
Larry Keenan,233.0,38.0,64.0,102.0,0.43799999999999994,28.0,1961-1972,6.0,LW
Alexander Khavanov,348.0,27.0,75.0,102.0,0.293,233.0,2000-2006,5.0,D
Juha Ylonen,341.0,26.0,76.0,102.0,0.299,100.0,1996-2002,6.0,C
Hal Laycoe,531.0,25.0,77.0,102.0,0.192,292.0,1945-1956,11.0,D
Brett Pesce,350.0,20.0,82.0,102.0,0.29100000000000004,105.0,2015-2021,6.0,D
Ben Lovejoy,544.0,20.0,82.0,102.0,0.188,287.0,2008-2019,11.0,D
Markus Granlund,335.0,58.0,43.0,101.0,0.301,86.0,2013-2020,7.0,C/LW
Paul Broten,322.0,46.0,55.0,101.0,0.314,264.0,1989-1996,7.0,RW
Devante Smith-Pelly,395.0,44.0,57.0,101.0,0.256,137.0,2011-2019,8.0,RW
Andy Delmore,283.0,43.0,58.0,101.0,0.35700000000000004,105.0,1998-2006,7.0,D
Tom Pyatt,445.0,43.0,58.0,101.0,0.22699999999999998,71.0,2009-2019,8.0,C
Alex Iafallo,227.0,41.0,60.0,101.0,0.445,48.0,2017-2021,4.0,LW/C
Larry Jeffrey,368.0,39.0,62.0,101.0,0.27399999999999997,293.0,1961-1969,8.0,LW
Rob McClanahan,224.0,38.0,63.0,101.0,0.451,126.0,1979-1984,5.0,LW
Alexander Burmistrov,348.0,37.0,64.0,101.0,0.29,139.0,2010-2018,6.0,C
Valeri Nichushkin,288.0,36.0,65.0,101.0,0.35100000000000003,36.0,2013-2021,6.0,RW/LW
Jim Wiemer,325.0,29.0,72.0,101.0,0.311,378.0,1982-1994,11.0,D/LW
Yvon Labre,371.0,14.0,87.0,101.0,0.272,788.0,1970-1981,9.0,D
Calvin de Haan,407.0,14.0,87.0,101.0,0.248,148.0,2011-2021,9.0,D
Art Gagne,228.0,67.0,33.0,100.0,0.439,257.0,1926-1932,6.0,RW
Didier Pitre,127.0,64.0,36.0,100.0,0.787,84.0,1917-1923,6.0,F
Ryan Jones,334.0,54.0,46.0,100.0,0.299,181.0,2008-2014,6.0,LW/RW
Vic Ripley,278.0,51.0,49.0,100.0,0.36,173.0,1928-1935,7.0,C
Rosaire Paiement,190.0,48.0,52.0,100.0,0.526,343.0,1967-1972,5.0,C
Daniel Carcillo,429.0,48.0,52.0,100.0,0.233,1233.0,2006-2015,9.0,LW
Jim McKenzie,880.0,48.0,52.0,100.0,0.114,1739.0,1989-2004,15.0,LW
Terry Reardon,193.0,47.0,53.0,100.0,0.518,73.0,1938-1947,7.0,C
Jesper Bratt,185.0,37.0,63.0,100.0,0.541,30.0,2017-2020,3.0,LW/RW
Vinnie Hinostroza,246.0,34.0,66.0,100.0,0.40700000000000003,61.0,2015-2021,6.0,C/RW
Esa Lindell,308.0,27.0,73.0,100.0,0.325,91.0,2015-2021,6.0,D
Brendan Smith,478.0,24.0,76.0,100.0,0.209,521.0,2011-2021,10.0,D/LW
Michael Thelven,207.0,20.0,80.0,100.0,0.483,217.0,1985-1990,5.0,D
Mike Rupp,609.0,54.0,45.0,99.0,0.163,855.0,2002-2014,11.0,W/C
Eddie Gerard,128.0,50.0,49.0,99.0,0.773,108.0,1917-1923,6.0,LW
Louis Sleigher,194.0,46.0,53.0,99.0,0.51,146.0,1979-1986,6.0,RW
Pentti Lund,259.0,44.0,55.0,99.0,0.382,40.0,1946-1953,7.0,C
Jamie Lundmark,295.0,40.0,59.0,99.0,0.336,204.0,2002-2010,6.0,C
Erik Condra,372.0,40.0,59.0,99.0,0.266,176.0,2010-2019,8.0,RW/LW
Ryan Shannon,305.0,35.0,64.0,99.0,0.325,90.0,2006-2012,6.0,C/RW
Jim Dorey,232.0,25.0,74.0,99.0,0.42700000000000005,553.0,1968-1972,4.0,D
Larry Goodenough,242.0,22.0,77.0,99.0,0.409,179.0,1974-1980,6.0,D
Steve Eminger,488.0,19.0,80.0,99.0,0.203,359.0,2002-2013,10.0,D
Jack Evans,753.0,19.0,80.0,99.0,0.131,989.0,1948-1963,14.0,D
Bob Armstrong,542.0,13.0,86.0,99.0,0.183,671.0,1950-1962,12.0,D
Scott Pearson,292.0,56.0,42.0,98.0,0.336,615.0,1988-2000,10.0,LW
Anders Hakansson,330.0,52.0,46.0,98.0,0.297,141.0,1981-1986,5.0,LW
David Oliver,233.0,49.0,49.0,98.0,0.42100000000000004,82.0,1994-2006,9.0,RW
Bruce Crowder,243.0,47.0,51.0,98.0,0.40299999999999997,156.0,1981-1985,4.0,RW
Andrei Svechnikov,150.0,44.0,54.0,98.0,0.653,116.0,2018-2021,3.0,RW/LW
Bob Neely,283.0,39.0,59.0,98.0,0.34600000000000003,266.0,1973-1978,5.0,D
Sebastien Bordeleau,251.0,37.0,61.0,98.0,0.39,98.0,1995-2002,7.0,C
Thomas Eriksson,208.0,22.0,76.0,98.0,0.47100000000000003,97.0,1980-1986,5.0,D
Leo Lamoureux,235.0,19.0,79.0,98.0,0.41700000000000004,175.0,1941-1947,6.0,C
Dave Karpa,557.0,18.0,80.0,98.0,0.17600000000000002,1374.0,1991-2003,12.0,D
Dave Brown,729.0,45.0,52.0,97.0,0.133,1789.0,1982-1996,14.0,RW
Ondrej Kase,204.0,43.0,54.0,97.0,0.475,48.0,2016-2021,5.0,RW/LW
Gary Aldcorn,226.0,41.0,56.0,97.0,0.429,78.0,1956-1961,5.0,LW
Nick Cousins,324.0,41.0,56.0,97.0,0.299,138.0,2014-2021,7.0,C/W
Bill Muckalt,256.0,40.0,57.0,97.0,0.379,204.0,1998-2003,5.0,RW
Johan Larsson,393.0,38.0,59.0,97.0,0.247,190.0,2012-2021,9.0,C
Clarke Wilm,455.0,37.0,60.0,97.0,0.213,336.0,1998-2006,7.0,C
Todd Fedoruk,545.0,32.0,65.0,97.0,0.17800000000000002,1050.0,2000-2010,9.0,LW
Greg Joly,365.0,21.0,76.0,97.0,0.266,250.0,1974-1983,9.0,D
Josh Manson,385.0,21.0,76.0,97.0,0.252,348.0,2014-2021,7.0,D
Randy Velischek,509.0,21.0,76.0,97.0,0.191,401.0,1982-1992,10.0,D
John Barrett,488.0,20.0,77.0,97.0,0.19899999999999998,604.0,1980-1988,8.0,D
Mike Weaver,633.0,8.0,89.0,97.0,0.153,227.0,2001-2015,13.0,D
Gerry Lowrey,211.0,48.0,48.0,96.0,0.455,148.0,1927-1933,6.0,C
Miles Wood,268.0,48.0,48.0,96.0,0.358,318.0,2015-2021,6.0,LW
Ryan Reaves,649.0,48.0,48.0,96.0,0.14800000000000002,910.0,2010-2021,11.0,RW
Tom Roulston,195.0,47.0,49.0,96.0,0.49200000000000005,74.0,1980-1986,5.0,RW
Danny Cox,319.0,47.0,49.0,96.0,0.301,128.0,1926-1934,8.0,LW
Fern Gauthier,229.0,46.0,50.0,96.0,0.419,35.0,1943-1949,6.0,RW
Don Ashby,188.0,40.0,56.0,96.0,0.511,40.0,1975-1981,6.0,C
Jerred Smithson,606.0,39.0,57.0,96.0,0.158,363.0,2002-2014,11.0,C/RW
Joe Cooper,420.0,30.0,66.0,96.0,0.22899999999999998,442.0,1935-1947,11.0,D
Red Dutton,449.0,29.0,67.0,96.0,0.214,871.0,1926-1936,10.0,D
Cam Barker,310.0,21.0,75.0,96.0,0.31,290.0,2005-2013,8.0,D
Blake Coleman,246.0,57.0,38.0,95.0,0.386,204.0,2016-2021,5.0,C/W
Bill Dineen,323.0,51.0,44.0,95.0,0.294,122.0,1953-1958,5.0,RW
Jake Virtanen,279.0,50.0,45.0,95.0,0.341,178.0,2015-2021,6.0,RW
Juraj Kolnik,250.0,46.0,49.0,95.0,0.38,84.0,2000-2007,6.0,RW
Chris Valentine,105.0,43.0,52.0,95.0,0.905,127.0,1981-1984,3.0,F
Gilbert Brule,299.0,43.0,52.0,95.0,0.318,156.0,2005-2014,8.0,C/RW
Al Hill,221.0,40.0,55.0,95.0,0.43,227.0,1976-1988,8.0,C
Mark Pederson,169.0,35.0,50.0,95.0,0.562,77.0,1989-1994,5.0,RW
Connor Murphy,444.0,25.0,70.0,95.0,0.214,246.0,2013-2021,8.0,D
Bryan Maxwell,331.0,18.0,77.0,95.0,0.287,745.0,1977-1985,8.0,D
Cale Hulse,619.0,16.0,79.0,95.0,0.153,1000.0,1995-2006,10.0,D
Andre Dore,257.0,14.0,81.0,95.0,0.37,261.0,1978-1985,7.0,D
Will Butcher,215.0,13.0,82.0,95.0,0.442,32.0,2017-2021,4.0,D
Anthony Cirelli,168.0,40.0,54.0,94.0,0.56,70.0,2017-2020,3.0,C
Yannick Weber,497.0,28.0,66.0,94.0,0.18899999999999997,195.0,2008-2020,12.0,D
David Schlemko,415.0,18.0,76.0,94.0,0.22699999999999998,124.0,2008-2019,11.0,D
Rick Paterson,430.0,50.0,43.0,93.0,0.21600000000000003,136.0,1978-1987,9.0,C
Brock McGinn,308.0,43.0,50.0,93.0,0.302,75.0,2015-2021,6.0,LW/RW
Patrick Dwyer,416.0,42.0,51.0,93.0,0.22399999999999998,77.0,2008-2015,7.0,RW
Ted Drury,414.0,41.0,52.0,93.0,0.225,367.0,1993-2001,8.0,C
Ryan Carter,473.0,41.0,52.0,93.0,0.19699999999999998,444.0,2006-2016,10.0,C
Wally Kilrea,329.0,35.0,58.0,93.0,0.28300000000000003,87.0,1929-1938,9.0,LW
Norm Dussault,206.0,31.0,62.0,93.0,0.451,47.0,1947-1951,4.0,C
Denny Lambert,487.0,27.0,66.0,93.0,0.191,1391.0,1994-2002,8.0,LW
Ron Wilson,177.0,26.0,67.0,93.0,0.525,68.0,1977-1988,7.0,D
