#,Player,GP,G,A,TP,PPG,PIM,Period,Years,Name,POS
1919.0,Zemgus Girgensons (C/W),489.0,61.0,77.0,138.0,0.282,130.0,2013-2021,8.0,Zemgus Girgensons ,C/W)
1920.0,Tobias Rieder (W/C),434.0,59.0,79.0,138.0,0.318,50.0,2014-2021,7.0,Tobias Rieder ,W/C)
1921.0,Denis Arkhipov (C),352.0,56.0,82.0,138.0,0.392,128.0,2000-2007,5.0,Denis Arkhipov ,C)
1922.0,Tim Sweeney (LW),291.0,55.0,83.0,138.0,0.474,123.0,1990-1998,8.0,Tim Sweeney ,LW)
1923.0,Marc Bureau (C),567.0,55.0,83.0,138.0,0.243,327.0,1989-2000,11.0,Marc Bureau ,C)
1924.0,Bobby Dollas (D),645.0,42.0,96.0,138.0,0.214,467.0,1983-2001,16.0,Bobby Dollas ,D)
1925.0,Kevin Haller (D),642.0,41.0,97.0,138.0,0.215,907.0,1989-2002,13.0,Kevin Haller ,D)
1926.0,Noah Hanifin (D),389.0,28.0,110.0,138.0,0.355,93.0,2015-2021,6.0,Noah Hanifin ,D)
1927.0,Ian Cole (D),541.0,26.0,112.0,138.0,0.255,507.0,2010-2021,11.0,Ian Cole ,D)
1928.0,Lars Lindgren (D),394.0,25.0,113.0,138.0,0.35,325.0,1978-1984,6.0,Lars Lindgren ,D)
1929.0,Éric Lacroix (LW),472.0,67.0,70.0,137.0,0.29,361.0,1993-2001,8.0,Éric Lacroix ,LW)
1930.0,Gino Odjick (LW),604.0,61.0,73.0,137.0,0.22699999999999998,2567.0,1990-2002,12.0,Gino Odjick ,LW)
1931.0,Nick Fotiu (LW),646.0,60.0,77.0,137.0,0.212,1362.0,1976-1989,13.0,Nick Fotiu ,LW)
1932.0,Jay Beagle (C),583.0,56.0,81.0,137.0,0.235,215.0,2008-2021,13.0,Jay Beagle ,C)
1933.0,Oleg Saprykin (LW),325.0,55.0,82.0,137.0,0.42200000000000004,240.0,1999-2007,7.0,Oleg Saprykin ,LW)
1934.0,Marco Scandella (D),580.0,42.0,95.0,137.0,0.23600000000000002,231.0,2010-2021,11.0,Marco Scandella ,D)
1935.0,Bryan Bickell (LW),395.0,66.0,70.0,136.0,0.344,192.0,2006-2017,10.0,Bryan Bickell ,LW)
1936.0,Nail Yakupov (RW/LW),350.0,62.0,74.0,136.0,0.389,142.0,2012-2018,6.0,Nail Yakupov ,RW/LW)
1937.0,Jim Campbell (RW),285.0,61.0,75.0,136.0,0.47700000000000004,268.0,1995-2006,9.0,Jim Campbell ,RW)
1938.0,Perry Berezan (C),378.0,61.0,75.0,136.0,0.36,277.0,1984-1993,9.0,Perry Berezan ,C)
1939.0,Kevyn Adams (C),540.0,59.0,77.0,136.0,0.252,317.0,1997-2008,10.0,Kevyn Adams ,C)
1940.0,Travis Moen (LW/RW),747.0,59.0,77.0,136.0,0.182,801.0,2003-2016,12.0,Travis Moen ,LW/RW)
1941.0,Wayne Maki (LW),246.0,57.0,79.0,136.0,0.5529999999999999,184.0,1967-1973,6.0,Wayne Maki ,LW)
1942.0,Mike Sullivan (C),709.0,54.0,82.0,136.0,0.192,203.0,1991-2002,11.0,Mike Sullivan ,C)
1943.0,Basil McRae (LW),576.0,53.0,83.0,136.0,0.23600000000000002,2453.0,1981-1997,16.0,Basil McRae ,LW)
1944.0,Derek Ryan (C),302.0,51.0,85.0,136.0,0.45,86.0,2015-2021,6.0,Derek Ryan ,C)
1945.0,Mike Hudson (C),416.0,49.0,87.0,136.0,0.327,414.0,1988-1997,9.0,Mike Hudson ,C)
1946.0,Larry Regan (F),280.0,41.0,95.0,136.0,0.486,71.0,1956-1961,5.0,Larry Regan ,F)
1947.0,Karlis Skrastins (D),832.0,32.0,104.0,136.0,0.163,375.0,1998-2011,12.0,Karlis Skrastins ,D)
1948.0,Carl Gunnarsson (D),617.0,30.0,106.0,136.0,0.22,173.0,2009-2021,12.0,Carl Gunnarsson ,D)
1949.0,Bryan Allen (D),721.0,29.0,107.0,136.0,0.18899999999999997,839.0,2000-2015,14.0,Bryan Allen ,D)
1950.0,Dean Kennedy (D),717.0,26.0,110.0,136.0,0.19,1118.0,1982-1995,12.0,Dean Kennedy ,D)
1951.0,Jesse Bélanger (C),246.0,59.0,76.0,135.0,0.5489999999999999,56.0,1991-2001,8.0,Jesse Bélanger ,C)
1952.0,Glenn Brydson (RW),299.0,56.0,79.0,135.0,0.452,203.0,1930-1938,8.0,Glenn Brydson ,RW)
1953.0,Ron Zanussi (RW),299.0,52.0,83.0,135.0,0.452,373.0,1977-1982,5.0,Ron Zanussi ,RW)
1954.0,Nico Hischier (C),209.0,51.0,84.0,135.0,0.6459999999999999,62.0,2017-2021,4.0,Nico Hischier ,C)
1955.0,Doug Evans (LW),355.0,48.0,87.0,135.0,0.38,502.0,1985-1993,8.0,Doug Evans ,LW)
1956.0,Jan Hejda (D),627.0,25.0,110.0,135.0,0.215,317.0,2006-2015,9.0,Jan Hejda ,D)
1957.0,George Hay (LW),239.0,74.0,60.0,134.0,0.561,84.0,1926-1934,7.0,George Hay ,LW)
1958.0,Nelson Pyatt (C),296.0,71.0,63.0,134.0,0.45299999999999996,69.0,1973-1980,7.0,Nelson Pyatt ,C)
