#,Player,GP,G,A,TP,PPG,PIM,Period,Years,Name,POS
3492.0,Jean-Marc Lanthier (RW),105.0,16.0,16.0,32.0,0.305,29.0,1983-1988,4.0,Jean-Marc Lanthier ,RW)
3493.0,Teodors Blugers (C/LW),97.0,15.0,17.0,32.0,0.33,40.0,2018-2021,3.0,Teodors Blugers ,C/LW)
3494.0,Alex Faulkner (C),101.0,15.0,17.0,32.0,0.317,15.0,1961-1964,3.0,Alex Faulkner ,C)
3495.0,Adam Erne (LW/RW),170.0,15.0,17.0,32.0,0.188,90.0,2016-2021,5.0,Adam Erne ,LW/RW)
3496.0,Jim Hamilton (LW),95.0,14.0,18.0,32.0,0.337,28.0,1977-1985,8.0,Jim Hamilton ,LW)
3497.0,Cliff Schmautz (RW),56.0,13.0,19.0,32.0,0.5710000000000001,33.0,1970-1971,1.0,Cliff Schmautz ,RW)
3498.0,Alexander Nylander (RW/LW),84.0,13.0,19.0,32.0,0.381,14.0,2016-2021,5.0,Alexander Nylander ,RW/LW)
3499.0,Dan Sexton (RW),88.0,13.0,19.0,32.0,0.364,20.0,2009-2011,2.0,Dan Sexton ,RW)
3500.0,Murray Costello (C),162.0,13.0,19.0,32.0,0.198,54.0,1953-1957,4.0,Murray Costello ,C)
3501.0,Mathias Tjärnqvist (LW),173.0,13.0,19.0,32.0,0.185,60.0,2003-2008,4.0,Mathias Tjärnqvist ,LW)
3502.0,Robert Fitchner (C),78.0,12.0,20.0,32.0,0.41,59.0,1979-1981,2.0,Robert Fitchner ,C)
3503.0,Vitali Karamnov (LW),92.0,12.0,20.0,32.0,0.348,65.0,1992-1995,3.0,Vitali Karamnov ,LW)
3504.0,Radovan Somik (RW/LW),113.0,12.0,20.0,32.0,0.28300000000000003,27.0,2002-2004,2.0,Radovan Somik ,RW/LW)
3505.0,Jamie Wright (LW),124.0,12.0,20.0,32.0,0.258,54.0,1997-2003,6.0,Jamie Wright ,LW)
3506.0,Gerry Minor (C),140.0,11.0,21.0,32.0,0.22899999999999998,173.0,1979-1984,5.0,Gerry Minor ,C)
3507.0,Chris Taylor (C),149.0,11.0,21.0,32.0,0.215,48.0,1994-2004,8.0,Chris Taylor ,C)
3508.0,Micheal Haley (C/W),270.0,11.0,21.0,32.0,0.11900000000000001,687.0,2009-2020,10.0,Micheal Haley ,C/W)
3509.0,Jack Riley (C),104.0,10.0,22.0,32.0,0.308,8.0,1932-1936,4.0,Jack Riley ,C)
3510.0,Wyatt Smith (C),211.0,10.0,22.0,32.0,0.152,65.0,1999-2008,8.0,Wyatt Smith ,C)
3511.0,Josh Langfeld (RW),143.0,9.0,23.0,32.0,0.22399999999999998,60.0,2001-2008,6.0,Josh Langfeld ,RW)
3512.0,Joe Morrow (D),162.0,9.0,23.0,32.0,0.198,62.0,2014-2019,5.0,Joe Morrow ,D)
3513.0,Linus Omark (LW),79.0,8.0,24.0,32.0,0.405,40.0,2010-2014,3.0,Linus Omark ,LW)
3514.0,Leif Rohlin (D),96.0,8.0,24.0,32.0,0.33299999999999996,40.0,1995-1997,2.0,Leif Rohlin ,D)
3515.0,Ville Koistinen (D),103.0,8.0,24.0,32.0,0.311,40.0,2007-2010,3.0,Ville Koistinen ,D)
3516.0,Corey Potter (D),130.0,8.0,24.0,32.0,0.24600000000000002,53.0,2008-2016,8.0,Corey Potter ,D)
3517.0,Bill Baker (D),143.0,7.0,25.0,32.0,0.22399999999999998,175.0,1980-1983,3.0,Bill Baker ,D)
3518.0,Jon Rohloff (D),150.0,7.0,25.0,32.0,0.213,129.0,1994-1997,3.0,Jon Rohloff ,D)
3519.0,John Hanna (D),198.0,6.0,26.0,32.0,0.162,206.0,1958-1968,5.0,John Hanna ,D)
3520.0,Rick Wilson (D),239.0,6.0,26.0,32.0,0.134,165.0,1973-1977,4.0,Rick Wilson ,D)
3521.0,Brad Berry (D),241.0,4.0,28.0,32.0,0.133,323.0,1985-1994,8.0,Brad Berry ,D)
3522.0,Harry Meeking (LW),64.0,19.0,12.0,31.0,0.484,66.0,1917-1927,3.0,Harry Meeking ,LW)
3523.0,Denis Hamel (LW),192.0,19.0,12.0,31.0,0.161,77.0,1999-2007,7.0,Denis Hamel ,LW)
3524.0,Norm Aubin (C),69.0,18.0,13.0,31.0,0.449,30.0,1981-1983,2.0,Norm Aubin ,C)
3525.0,Mats Hallin (LW),152.0,17.0,14.0,31.0,0.204,193.0,1982-1987,5.0,Mats Hallin ,LW)
3526.0,Scott Fraser (C),71.0,16.0,15.0,31.0,0.43700000000000006,24.0,1995-1999,3.0,Scott Fraser ,C)
3527.0,Jack Stoddard (RW),80.0,16.0,15.0,31.0,0.38799999999999996,31.0,1951-1953,2.0,Jack Stoddard ,RW)
3528.0,Dave Chyzowski (LW),126.0,15.0,16.0,31.0,0.24600000000000002,144.0,1989-1997,6.0,Dave Chyzowski ,LW)
3529.0,Bill Summerhill (RW),72.0,14.0,17.0,31.0,0.431,70.0,1937-1942,4.0,Bill Summerhill ,RW)
3530.0,Kevin O'Shea (RW),133.0,13.0,18.0,31.0,0.233,85.0,1970-1973,3.0,Kevin O'Shea ,RW)
3531.0,Jimmy Jones (RW),148.0,13.0,18.0,31.0,0.209,68.0,1977-1980,3.0,Jimmy Jones ,RW)
3532.0,Frédérik Gauthier (C),168.0,13.0,18.0,31.0,0.185,45.0,2015-2020,5.0,Frédérik Gauthier ,C)
3533.0,Kailer Yamamoto (RW/LW),53.0,12.0,19.0,31.0,0.585,16.0,2017-2021,4.0,Kailer Yamamoto ,RW/LW)
3534.0,Jörgen Jönsson (C),79.0,12.0,19.0,31.0,0.392,16.0,1999-2000,1.0,Jörgen Jönsson ,C)
3535.0,Ryan Graves (D),95.0,12.0,19.0,31.0,0.326,47.0,2018-2021,3.0,Ryan Graves ,D)
3536.0,Claude Boivin (LW),132.0,12.0,19.0,31.0,0.235,364.0,1991-1995,4.0,Claude Boivin ,LW)
3537.0,Gerry Odrowski (D),309.0,12.0,19.0,31.0,0.1,111.0,1960-1972,6.0,Gerry Odrowski ,D)
3538.0,Steve Black (LW),113.0,11.0,20.0,31.0,0.27399999999999997,77.0,1949-1951,2.0,Steve Black ,LW)
3539.0,Jan Vopat (D),126.0,11.0,20.0,31.0,0.24600000000000002,70.0,1995-2000,5.0,Jan Vopat ,D)
3540.0,Joseph Blandisi (C/LW),101.0,10.0,21.0,31.0,0.307,78.0,2015-2020,5.0,Joseph Blandisi ,C/LW)
3541.0,Brent Meeke (F),75.0,9.0,22.0,31.0,0.413,8.0,1972-1977,5.0,Brent Meeke ,F)
3542.0,Neil Brady (C),89.0,9.0,22.0,31.0,0.348,95.0,1989-1994,5.0,Neil Brady ,C)
3543.0,Cam Connor (RW),89.0,9.0,22.0,31.0,0.348,256.0,1978-1983,5.0,Cam Connor ,RW)
3544.0,Petr Buzek (D),157.0,9.0,22.0,31.0,0.19699999999999998,94.0,1997-2003,6.0,Petr Buzek ,D)
3545.0,Travis Boyd (C),85.0,8.0,23.0,31.0,0.365,10.0,2017-2021,4.0,Travis Boyd ,C)
3546.0,Kevin Dallman (D),154.0,8.0,23.0,31.0,0.201,45.0,2005-2008,3.0,Kevin Dallman ,D)
3547.0,Ivan Majeský (D),202.0,8.0,23.0,31.0,0.153,234.0,2002-2006,3.0,Ivan Majeský ,D)
3548.0,Chris Luongo (D),218.0,8.0,23.0,31.0,0.142,176.0,1990-1996,5.0,Chris Luongo ,D)
3549.0,Aut Erickson (D),226.0,7.0,24.0,31.0,0.13699999999999998,182.0,1959-1970,7.0,Aut Erickson ,D)
3550.0,Jimmy Orlando (D),199.0,6.0,25.0,31.0,0.156,375.0,1936-1943,6.0,Jimmy Orlando ,D)
3551.0,Rudy Poeschek (D/RW),364.0,6.0,25.0,31.0,0.085,817.0,1987-2000,12.0,Rudy Poeschek ,D/RW)
3552.0,Murray Patrick (D),166.0,5.0,26.0,31.0,0.187,133.0,1937-1946,5.0,Murray Patrick ,D)
3553.0,Paul Terbenche (D),189.0,5.0,26.0,31.0,0.16399999999999998,28.0,1967-1974,5.0,Paul Terbenche ,D)
3554.0,Victor Mete (D),171.0,4.0,27.0,31.0,0.18100000000000002,30.0,2017-2021,4.0,Victor Mete ,D)
3555.0,Francis Bathe (D),224.0,3.0,28.0,31.0,0.138,542.0,1974-1984,9.0,Francis Bathe ,D)
3556.0,Marty Howe (D),197.0,2.0,29.0,31.0,0.157,99.0,1979-1985,6.0,Marty Howe ,D)
3557.0,Pete Bellefeuille (RW),92.0,26.0,4.0,30.0,0.326,58.0,1925-1930,4.0,Pete Bellefeuille ,RW)
3558.0,Vitali Prokhorov (LW),83.0,19.0,11.0,30.0,0.361,35.0,1992-1995,3.0,Vitali Prokhorov ,LW)
3559.0,Daniel Sprong (RW/LW),97.0,19.0,11.0,30.0,0.309,10.0,2015-2021,5.0,Daniel Sprong ,RW/LW)
3560.0,Mark Hartigan (C),102.0,19.0,11.0,30.0,0.294,58.0,2001-2008,6.0,Mark Hartigan ,C)
3561.0,Alex McKinnon (F),193.0,19.0,11.0,30.0,0.155,237.0,1924-1929,5.0,Alex McKinnon ,F)
3562.0,Bob Dill (D),76.0,15.0,15.0,30.0,0.395,135.0,1943-1945,2.0,Bob Dill ,D)
3563.0,Dave Roche (LW),171.0,15.0,15.0,30.0,0.175,334.0,1995-2002,5.0,Dave Roche ,LW)
3564.0,Ramzi Abid (LW),68.0,14.0,16.0,30.0,0.441,78.0,2002-2007,4.0,Ramzi Abid ,LW)
3565.0,Scott Parse (RW/LW),73.0,14.0,16.0,30.0,0.41100000000000003,36.0,2009-2012,3.0,Scott Parse ,RW/LW)
3566.0,Marian Cisar (RW),73.0,13.0,17.0,30.0,0.41100000000000003,57.0,1999-2002,3.0,Marian Cisar ,RW)
3567.0,Ty Rattie (RW),98.0,13.0,17.0,30.0,0.306,12.0,2013-2019,6.0,Ty Rattie ,RW)
3568.0,Brad Malone (C/LW),199.0,13.0,17.0,30.0,0.151,198.0,2011-2019,7.0,Brad Malone ,C/LW)
3569.0,Nick Tarnasky (LW/C),245.0,13.0,17.0,30.0,0.122,297.0,2005-2010,5.0,Nick Tarnasky ,LW/C)
3570.0,Zach Boychuk (C/LW),127.0,12.0,18.0,30.0,0.23600000000000002,16.0,2008-2015,7.0,Zach Boychuk ,C/LW)
3571.0,Zenon Konopka (C),346.0,12.0,18.0,30.0,0.087,1082.0,2005-2014,9.0,Zenon Konopka ,C)
3572.0,Mattias Tedenby (LW),120.0,10.0,20.0,30.0,0.25,42.0,2010-2014,4.0,Mattias Tedenby ,LW)
3573.0,Jimmy Mann (RW),293.0,10.0,20.0,30.0,0.102,895.0,1979-1988,8.0,Jimmy Mann ,RW)
3574.0,Cam Russell (D),396.0,9.0,21.0,30.0,0.076,872.0,1989-1999,10.0,Cam Russell ,D)
3575.0,Kenny Agostino (LW),85.0,8.0,22.0,30.0,0.353,40.0,2013-2021,6.0,Kenny Agostino ,LW)
3576.0,Dan Kesa (RW),139.0,8.0,22.0,30.0,0.21600000000000003,66.0,1993-2000,4.0,Dan Kesa ,RW)
3577.0,Dwight Schofield (D),211.0,8.0,22.0,30.0,0.142,631.0,1976-1988,7.0,Dwight Schofield ,D)
3578.0,Jamie Allison (D),372.0,7.0,23.0,30.0,0.081,639.0,1994-2006,10.0,Jamie Allison ,D)
3579.0,Karel Pilar (D),90.0,6.0,24.0,30.0,0.33299999999999996,42.0,2001-2004,3.0,Karel Pilar ,D)
3580.0,Chris McAlpine (D),289.0,6.0,24.0,30.0,0.10400000000000001,245.0,1994-2003,8.0,Chris McAlpine ,D)
3581.0,Sergei Bautin (D),132.0,5.0,25.0,30.0,0.22699999999999998,176.0,1992-1996,3.0,Sergei Bautin ,D)
3582.0,Drew Bannister (D),164.0,5.0,25.0,30.0,0.183,161.0,1995-2002,6.0,Drew Bannister ,D)
3583.0,Gilles Lupien (D),226.0,5.0,25.0,30.0,0.133,416.0,1977-1982,5.0,Gilles Lupien ,D)
3584.0,Matt Walker (D),314.0,4.0,26.0,30.0,0.096,464.0,2002-2013,10.0,Matt Walker ,D)
3585.0,Thomas McCarthy (RW),35.0,22.0,7.0,29.0,0.8290000000000001,10.0,1919-1921,2.0,Thomas McCarthy ,RW)
3586.0,Russell Oatman (LW),120.0,20.0,9.0,29.0,0.242,100.0,1926-1929,3.0,Russell Oatman ,LW)
3587.0,John McCreedy (RW),64.0,17.0,12.0,29.0,0.45299999999999996,25.0,1941-1945,2.0,John McCreedy ,RW)
3588.0,Fred Hunt (RW),59.0,15.0,14.0,29.0,0.49200000000000005,6.0,1940-1945,2.0,Fred Hunt ,RW)
3589.0,Bill MacKenzie (D),264.0,15.0,14.0,29.0,0.11,145.0,1932-1940,7.0,Bill MacKenzie ,D)
3590.0,Jody Gage (RW),68.0,14.0,15.0,29.0,0.426,26.0,1980-1992,6.0,Jody Gage ,RW)
3591.0,Valeri Karpov (RW),76.0,14.0,15.0,29.0,0.382,32.0,1994-1997,3.0,Valeri Karpov ,RW)
3592.0,Steve Washburn (C),93.0,14.0,15.0,29.0,0.312,42.0,1995-2001,6.0,Steve Washburn ,C)
3593.0,Larry Hopkins (LW),60.0,13.0,16.0,29.0,0.483,26.0,1977-1983,4.0,Larry Hopkins ,LW)
3594.0,Ronnie Martin (RW),94.0,13.0,16.0,29.0,0.309,36.0,1932-1934,2.0,Ronnie Martin ,RW)
3595.0,Jaroslav Svoboda (RW),134.0,12.0,17.0,29.0,0.21600000000000003,62.0,2001-2006,4.0,Jaroslav Svoboda ,RW)
3596.0,Dale Craigwell (C),98.0,11.0,18.0,29.0,0.29600000000000004,28.0,1991-1994,3.0,Dale Craigwell ,C)
3597.0,Steve Kraftcheck (D),157.0,11.0,18.0,29.0,0.185,83.0,1950-1959,4.0,Steve Kraftcheck ,D)
3598.0,Trent Whitfield (C),194.0,11.0,18.0,29.0,0.149,104.0,1999-2012,9.0,Trent Whitfield ,C)
3599.0,Jiri Sekac (LW),108.0,10.0,19.0,29.0,0.26899999999999996,38.0,2014-2016,2.0,Jiri Sekac ,LW)
3600.0,Mark Heaslip (RW),117.0,10.0,19.0,29.0,0.248,110.0,1976-1979,3.0,Mark Heaslip ,RW)
3601.0,Tony Horacek (LW),154.0,10.0,19.0,29.0,0.188,316.0,1989-1995,5.0,Tony Horacek ,LW)
3602.0,Chris Wells (C),195.0,9.0,20.0,29.0,0.149,193.0,1995-2000,5.0,Chris Wells ,C)
3603.0,Rod Pelley (C),256.0,9.0,20.0,29.0,0.113,102.0,2006-2012,5.0,Rod Pelley ,C)
3604.0,Derrick Walser (D),91.0,8.0,21.0,29.0,0.319,56.0,2001-2007,4.0,Derrick Walser ,D)
3605.0,Dave Fortier (LW/D),205.0,8.0,21.0,29.0,0.141,335.0,1972-1977,4.0,Dave Fortier ,LW/D)
3606.0,Slater Koekkoek (D),149.0,7.0,22.0,29.0,0.195,86.0,2014-2020,6.0,Slater Koekkoek ,D)
3607.0,Kevin Dahl (D),188.0,7.0,22.0,29.0,0.154,153.0,1992-2001,8.0,Kevin Dahl ,D)
3608.0,Tim Heed (D),105.0,6.0,23.0,29.0,0.276,20.0,2016-2020,4.0,Tim Heed ,D)
3609.0,Brian Strait (D),187.0,6.0,23.0,29.0,0.155,91.0,2010-2017,7.0,Brian Strait ,D)
3610.0,David Hale (D),327.0,4.0,25.0,29.0,0.08900000000000001,242.0,2003-2011,7.0,David Hale ,D)
3611.0,Ivan Irwin (D),181.0,2.0,27.0,29.0,0.16,214.0,1952-1958,5.0,Ivan Irwin ,D)
3612.0,Brad Brown (D),330.0,2.0,27.0,29.0,0.08800000000000001,747.0,1996-2004,7.0,Brad Brown ,D)
3613.0,Kai Nurminen (LW),69.0,17.0,11.0,28.0,0.406,24.0,1996-2001,2.0,Kai Nurminen ,LW)
3614.0,Bill Thomas (RW),87.0,16.0,12.0,28.0,0.322,18.0,2005-2012,6.0,Bill Thomas ,RW)
3615.0,Jud McAtee (LW),46.0,15.0,13.0,28.0,0.609,6.0,1942-1945,3.0,Jud McAtee ,LW)
3616.0,Brad Smyth (RW),88.0,15.0,13.0,28.0,0.318,109.0,1995-2003,6.0,Brad Smyth ,RW)
3617.0,Steve Rooney (LW),154.0,15.0,13.0,28.0,0.182,496.0,1984-1989,5.0,Steve Rooney ,LW)
3618.0,Joe Dziedzic (LW),130.0,14.0,14.0,28.0,0.215,131.0,1995-1999,3.0,Joe Dziedzic ,LW)
3619.0,Lucien Grenier (RW),151.0,14.0,14.0,28.0,0.185,18.0,1968-1972,4.0,Lucien Grenier ,RW)
3620.0,Bernie Lukowich (RW),79.0,13.0,15.0,28.0,0.354,34.0,1973-1975,2.0,Bernie Lukowich ,RW)
3621.0,Bert Connelly (LW),87.0,13.0,15.0,28.0,0.322,37.0,1934-1938,3.0,Bert Connelly ,LW)
3622.0,Nick Paul (LW),112.0,13.0,15.0,28.0,0.25,34.0,2015-2021,6.0,Nick Paul ,LW)
3623.0,Jean-Yves Roy (RW),61.0,12.0,16.0,28.0,0.45899999999999996,26.0,1994-1998,4.0,Jean-Yves Roy ,RW)
3624.0,Lyle Moffat (LW),97.0,12.0,16.0,28.0,0.289,51.0,1972-1980,3.0,Lyle Moffat ,LW)
3625.0,Jordan Caron (RW/LW),157.0,12.0,16.0,28.0,0.17800000000000002,78.0,2010-2016,6.0,Jordan Caron ,RW/LW)
3626.0,Kirk Bowman (LW/C),88.0,11.0,17.0,28.0,0.318,19.0,1976-1979,3.0,Kirk Bowman ,LW/C)
3627.0,John Smrke (C),103.0,11.0,17.0,28.0,0.272,33.0,1977-1980,3.0,John Smrke ,C)
3628.0,Pat Graham (LW),103.0,11.0,17.0,28.0,0.272,136.0,1981-1984,3.0,Pat Graham ,LW)
3629.0,Antti Aalto (C),151.0,11.0,17.0,28.0,0.185,52.0,1997-2001,4.0,Antti Aalto ,C)
3630.0,Alan Quine (C/W),106.0,10.0,18.0,28.0,0.264,22.0,2015-2021,6.0,Alan Quine ,C/W)
3631.0,Erik Cernak (D),125.0,10.0,18.0,28.0,0.22399999999999998,117.0,2018-2020,2.0,Erik Cernak ,D)
3632.0,Enrico Ciccone (D),374.0,10.0,18.0,28.0,0.075,1469.0,1991-2001,9.0,Enrico Ciccone ,D)
3633.0,Tony Twist (LW),445.0,10.0,18.0,28.0,0.063,1121.0,1989-1999,10.0,Tony Twist ,LW)
3634.0,Frank Mario (C),53.0,9.0,19.0,28.0,0.528,24.0,1941-1945,2.0,Frank Mario ,C)
3635.0,Doug Gibson (C),63.0,9.0,19.0,28.0,0.444,0.0,1973-1978,3.0,Doug Gibson ,C)
3636.0,Brandon Convery (C),72.0,9.0,19.0,28.0,0.389,36.0,1995-1999,4.0,Brandon Convery ,C)
3637.0,Jack Shewchuk (D),187.0,9.0,19.0,28.0,0.15,160.0,1938-1945,6.0,Jack Shewchuk ,D)
3638.0,Jaroslav Hlinka (C/LW),63.0,8.0,20.0,28.0,0.444,16.0,2007-2008,1.0,Jaroslav Hlinka ,C/LW)
3639.0,Butch McDonald (LW),66.0,8.0,20.0,28.0,0.424,2.0,1939-1945,2.0,Butch McDonald ,LW)
3640.0,Troy Terry (RW/C),81.0,8.0,20.0,28.0,0.34600000000000003,8.0,2017-2021,4.0,Troy Terry ,RW/C)
3641.0,Eddie Mazur (LW/D),107.0,8.0,20.0,28.0,0.262,120.0,1950-1957,6.0,Eddie Mazur ,LW/D)
3642.0,Brendan Bell (D),102.0,7.0,21.0,28.0,0.275,51.0,2005-2012,5.0,Brendan Bell ,D)
3643.0,Fredrik Claesson (D),155.0,7.0,21.0,28.0,0.18100000000000002,50.0,2015-2020,5.0,Fredrik Claesson ,D)
3644.0,George Brown (C),79.0,6.0,22.0,28.0,0.354,34.0,1936-1939,3.0,George Brown ,C)
3645.0,Dennis Patterson (D),138.0,6.0,22.0,28.0,0.203,67.0,1974-1980,3.0,Dennis Patterson ,D)
3646.0,Aaron Rome (D),226.0,6.0,22.0,28.0,0.124,185.0,2006-2014,8.0,Aaron Rome ,D)
3647.0,Paul MacKinnon (D),147.0,5.0,23.0,28.0,0.19,91.0,1979-1984,5.0,Paul MacKinnon ,D)
3648.0,Xavier Ouellet (D),172.0,5.0,23.0,28.0,0.163,80.0,2013-2020,7.0,Xavier Ouellet ,D)
3649.0,Mirco Müller (D),185.0,5.0,23.0,28.0,0.151,61.0,2014-2020,6.0,Mirco Müller ,D)
3650.0,Nate Guenin (D),205.0,5.0,23.0,28.0,0.13699999999999998,94.0,2006-2016,9.0,Nate Guenin ,D)
3651.0,Rick Kessell (C),135.0,4.0,24.0,28.0,0.207,6.0,1969-1974,5.0,Rick Kessell ,C)
3652.0,Dan Bourbonnais (F),59.0,3.0,25.0,28.0,0.475,11.0,1981-1984,2.0,Dan Bourbonnais ,F)
3653.0,Jyrki Jokipakka (D),150.0,3.0,25.0,28.0,0.187,34.0,2014-2017,3.0,Jyrki Jokipakka ,D)
3654.0,Charles Langlois (F),151.0,22.0,5.0,27.0,0.179,189.0,1924-1928,4.0,Charles Langlois ,F)
3655.0,Bob Connors (D/LW),78.0,17.0,10.0,27.0,0.34600000000000003,110.0,1926-1930,3.0,Bob Connors ,D/LW)
3656.0,Walter Jackson (LW),84.0,16.0,11.0,27.0,0.321,18.0,1932-1936,4.0,Walter Jackson ,LW)
3657.0,Tommy Filmore (RW),117.0,15.0,12.0,27.0,0.231,33.0,1930-1934,4.0,Tommy Filmore ,RW)
3658.0,Lukas Sedlak (C/LW),162.0,15.0,12.0,27.0,0.16699999999999998,56.0,2016-2019,3.0,Lukas Sedlak ,C/LW)
3659.0,Daniel Shank (RW),77.0,13.0,14.0,27.0,0.35100000000000003,175.0,1989-1992,3.0,Daniel Shank ,RW)
3660.0,Robert Mongrain (C),81.0,13.0,14.0,27.0,0.33299999999999996,14.0,1979-1986,5.0,Robert Mongrain ,C)
3661.0,Jonathan Hedström (LW),83.0,13.0,14.0,27.0,0.325,48.0,2002-2006,2.0,Jonathan Hedström ,LW)
3662.0,Russ Romaniuk (LW),102.0,13.0,14.0,27.0,0.265,63.0,1991-1996,5.0,Russ Romaniuk ,LW)
3663.0,Miikka Salomäki (W/C),167.0,12.0,15.0,27.0,0.162,76.0,2014-2020,6.0,Miikka Salomäki ,W/C)
3664.0,Frank Jerwa (LW),81.0,11.0,16.0,27.0,0.33299999999999996,53.0,1931-1935,4.0,Frank Jerwa ,LW)
3665.0,Christian Berglund (LW),86.0,11.0,16.0,27.0,0.314,42.0,2001-2004,3.0,Christian Berglund ,LW)
3666.0,Peter Ahola (D),123.0,10.0,17.0,27.0,0.22,137.0,1991-1994,3.0,Peter Ahola ,D)
3667.0,Brian McGrattan (RW),317.0,10.0,17.0,27.0,0.085,609.0,2005-2015,9.0,Brian McGrattan ,RW)
3668.0,Steve Kariya (LW),65.0,9.0,18.0,27.0,0.415,32.0,1999-2002,3.0,Steve Kariya ,LW)
3669.0,Steve Maltais (LW),120.0,9.0,18.0,27.0,0.225,53.0,1989-2001,6.0,Steve Maltais ,LW)
3670.0,Gustav Forsling (D),122.0,8.0,19.0,27.0,0.221,42.0,2016-2019,3.0,Gustav Forsling ,D)
3671.0,Jere Karalahti (D),149.0,8.0,19.0,27.0,0.18100000000000002,97.0,1999-2002,3.0,Jere Karalahti ,D)
3672.0,Mats Thelin (D),163.0,8.0,19.0,27.0,0.166,176.0,1984-1987,3.0,Mats Thelin ,D)
3673.0,Nic Petan (W/C),129.0,6.0,21.0,27.0,0.209,34.0,2015-2021,6.0,Nic Petan ,W/C)
3674.0,Corey Tropp (RW),149.0,6.0,21.0,27.0,0.18100000000000002,133.0,2011-2017,4.0,Corey Tropp ,RW)
3675.0,Korbinian Holzer (D),206.0,6.0,21.0,27.0,0.131,139.0,2010-2020,8.0,Korbinian Holzer ,D)
3676.0,Christian Djoos (D),119.0,5.0,22.0,27.0,0.22699999999999998,14.0,2017-2021,4.0,Christian Djoos ,D)
3677.0,Henri Jokiharju (D),107.0,4.0,23.0,27.0,0.252,48.0,2018-2021,3.0,Henri Jokiharju ,D)
3678.0,Ryan Stanton (D),120.0,4.0,23.0,27.0,0.225,71.0,2012-2016,4.0,Ryan Stanton ,D)
3679.0,Steve Richmond (D),159.0,4.0,23.0,27.0,0.17,514.0,1983-1990,5.0,Steve Richmond ,D)
3680.0,Keaton Ellerby (D),212.0,4.0,23.0,27.0,0.127,88.0,2009-2015,6.0,Keaton Ellerby ,D)
3681.0,Matt Carkner (D),237.0,4.0,23.0,27.0,0.114,556.0,2005-2014,7.0,Matt Carkner ,D)
3682.0,Terry Johnson (D),285.0,3.0,24.0,27.0,0.095,580.0,1979-1988,9.0,Terry Johnson ,D)
3683.0,Anthony Bitetto (D),183.0,2.0,25.0,27.0,0.14800000000000002,122.0,2014-2021,7.0,Anthony Bitetto ,D)
3684.0,Bill Kendall (RW),131.0,16.0,10.0,26.0,0.198,28.0,1933-1938,5.0,Bill Kendall ,RW)
3685.0,Luke Adam (C),90.0,15.0,11.0,26.0,0.289,36.0,2010-2015,5.0,Luke Adam ,C)
3686.0,Fred O'Donnell (LW),115.0,15.0,11.0,26.0,0.226,98.0,1972-1974,2.0,Fred O'Donnell ,LW)
3687.0,Oscar Möller (LW),87.0,12.0,14.0,26.0,0.299,22.0,2008-2011,3.0,Oscar Möller ,LW)
3688.0,Ivan Ciernik (RW),89.0,12.0,14.0,26.0,0.292,32.0,1997-2004,5.0,Ivan Ciernik ,RW)
3689.0,Joël Perrault (C/RW),96.0,12.0,14.0,26.0,0.271,68.0,2005-2011,6.0,Joël Perrault ,C/RW)
3690.0,Carl Mokosak (LW),83.0,11.0,15.0,26.0,0.313,170.0,1981-1989,6.0,Carl Mokosak ,LW)
3691.0,John Hayden (RW/LW),156.0,11.0,15.0,26.0,0.16699999999999998,162.0,2016-2021,5.0,John Hayden ,RW/LW)
3692.0,Dick Meissner (RW),171.0,11.0,15.0,26.0,0.152,37.0,1959-1965,5.0,Dick Meissner ,RW)
3693.0,Drew Shore (C/RW),94.0,9.0,17.0,26.0,0.27699999999999997,28.0,2012-2017,5.0,Drew Shore ,C/RW)
3694.0,Curt Brackenbury (LW),141.0,9.0,17.0,26.0,0.184,226.0,1979-1983,4.0,Curt Brackenbury ,LW)
3695.0,Warren Holmes (C),45.0,8.0,18.0,26.0,0.578,7.0,1981-1984,3.0,Warren Holmes ,C)
3696.0,Frank Nigro (C),68.0,8.0,18.0,26.0,0.382,39.0,1982-1984,2.0,Frank Nigro ,C)
3697.0,Bryan Helmer (D),146.0,8.0,18.0,26.0,0.17800000000000002,135.0,1998-2009,7.0,Bryan Helmer ,D)
3698.0,Les Cunningham (C),60.0,7.0,19.0,26.0,0.433,21.0,1936-1940,2.0,Les Cunningham ,C)
3699.0,Terry Ball (D),74.0,7.0,19.0,26.0,0.35100000000000003,26.0,1967-1972,4.0,Terry Ball ,D)
3700.0,Joel Lundqvist (C),134.0,7.0,19.0,26.0,0.19399999999999998,56.0,2006-2009,3.0,Joel Lundqvist ,C)
3701.0,John Marino (D),56.0,6.0,20.0,26.0,0.46399999999999997,20.0,2019-2021,2.0,John Marino ,D)
3702.0,Gus Kyle (D),203.0,6.0,20.0,26.0,0.128,362.0,1949-1952,3.0,Gus Kyle ,D)
3703.0,Doug McCaig (D),273.0,6.0,20.0,26.0,0.095,275.0,1941-1951,7.0,Doug McCaig ,D)
3704.0,P.J. Stock (D/C),235.0,5.0,21.0,26.0,0.111,523.0,1997-2004,7.0,P.J. Stock ,D/C)
3705.0,Mike Busniuk (F/D),143.0,3.0,23.0,26.0,0.182,297.0,1979-1981,2.0,Mike Busniuk ,F/D)
3706.0,Steven King (RW),67.0,17.0,8.0,25.0,0.373,75.0,1992-1996,3.0,Steven King ,RW)
